################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfBORG: "Bory - Cabane" - Local} (All data)} {RDCBOR0}
# FILENAME: RDCBOR0_all.txt
# COORD:365828	7650026	
#
#
# CREATED: 12-Oct-2022 18:31:09 by sysop@pitondescalumets
# COPYRIGHT: MMXXII, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS Eastern(m) Northern(m) Up(m) dE dN dU Orbit East_treat(m) North_treat(m) Up_treat(m)
2017 01 01 11 59 00 5779807.184139 -2365146.559481 2579.046320 0.010000 0.010000 0.010000 0.000000 5779807.184139 -2365146.559481 2579.046320
2017 01 02 11 59 00 5779807.191330 -2365146.574174 2579.037540 0.010000 0.010000 0.010000 0.000000 5779807.191315 -2365146.574186 2579.037540
2017 01 03 11 59 00 5779807.188141 -2365146.559577 2579.035900 0.010000 0.010000 0.010000 0.000000 5779807.188110 -2365146.559600 2579.035900
2017 01 04 11 59 00 5779807.177982 -2365146.570270 2579.024800 0.010000 0.010000 0.010000 0.000000 5779807.177936 -2365146.570305 2579.024800
2017 01 05 11 59 00 5779807.193123 -2365146.574272 2579.031070 0.010000 0.010000 0.010000 0.000000 5779807.193062 -2365146.574319 2579.031070
2017 01 06 11 59 00 5779807.182034 -2365146.564855 2579.038250 0.010000 0.010000 0.010000 0.000000 5779807.181958 -2365146.564914 2579.038250
2017 01 07 11 59 00 5779807.194855 -2365146.564968 2579.015980 0.010000 0.010000 0.010000 0.000000 5779807.194763 -2365146.565039 2579.015980
2017 01 08 11 59 00 5779807.188276 -2365146.561001 2579.028900 0.010000 0.010000 0.010000 0.000000 5779807.188169 -2365146.561083 2579.028900
2017 01 09 11 59 00 5779807.193967 -2365146.573964 2579.030650 0.010000 0.010000 0.010000 0.000000 5779807.193845 -2365146.574058 2579.030650
2017 01 10 11 59 00 5779807.192258 -2365146.565867 2579.032850 0.010000 0.010000 0.010000 0.000000 5779807.192120 -2365146.565972 2579.032850
2017 01 11 11 59 00 5779807.190939 -2365146.567560 2579.034700 0.010000 0.010000 0.010000 0.000000 5779807.190786 -2365146.567677 2579.034700
2017 01 12 11 59 00 5779807.192090 -2365146.568902 2579.032760 0.010000 0.010000 0.010000 0.000000 5779807.191922 -2365146.569032 2579.032760
2017 01 13 11 59 00 5779807.171901 -2365146.565345 2579.059180 0.010000 0.010000 0.010000 0.000000 5779807.171718 -2365146.565486 2579.059180
2017 01 14 11 59 00 5779807.184982 -2365146.561158 2579.027610 0.010000 0.010000 0.010000 0.000000 5779807.184783 -2365146.561311 2579.027610
2017 01 15 11 59 00 5779807.197763 -2365146.565011 2579.050880 0.010000 0.010000 0.010000 0.000000 5779807.197549 -2365146.565175 2579.050880
2017 01 16 11 59 00 5779807.194794 -2365146.567374 2579.037260 0.010000 0.010000 0.010000 0.000000 5779807.194565 -2365146.567550 2579.037260
