################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfC98G: "Coul�e 1998" - Local} (All data)} {RDCC98G}
# FILENAME: RDCC98G_all.txt
# COORD:369511	7655152	
#
#
# CREATED: 12-Oct-2022 18:31:13 by sysop@pitondescalumets
# COPYRIGHT: MMXXII, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS Eastern(m) Northern(m) Up(m) dE dN dU Orbit East_treat(m) North_treat(m) Up_treat(m)
2020 12 03 11 59 00 5785326.971140 -2360015.152388 1638.820290 0.010000 0.010000 0.010000 0.000000 5785326.949307 -2360015.169200 1638.820290
2020 12 04 11 59 00 5785326.971641 -2360015.156901 1638.819120 0.010000 0.010000 0.010000 0.000000 5785326.949793 -2360015.173724 1638.819120
2020 12 05 11 59 00 5785326.958622 -2360015.157064 1638.818950 0.010000 0.010000 0.010000 0.000000 5785326.936759 -2360015.173899 1638.818950
2020 12 06 11 59 00 5785326.962523 -2360015.144967 1638.817110 0.010000 0.010000 0.010000 0.000000 5785326.940645 -2360015.161813 1638.817110
2020 12 07 11 59 00 5785326.962214 -2360015.154180 1638.817100 0.010000 0.010000 0.010000 0.000000 5785326.940320 -2360015.171038 1638.817100
2020 12 08 11 59 00 5785326.960265 -2360015.144233 1638.831410 0.010000 0.010000 0.010000 0.000000 5785326.938356 -2360015.161103 1638.831410
2020 12 09 11 59 00 5785326.957146 -2360015.148825 1638.825030 0.010000 0.010000 0.010000 0.000000 5785326.935222 -2360015.165707 1638.825030
2020 12 10 11 59 00 5785326.962437 -2360015.155298 1638.820450 0.010000 0.010000 0.010000 0.000000 5785326.940498 -2360015.172192 1638.820450
2020 12 11 11 59 00 5785326.954498 -2360015.145611 1638.830720 0.010000 0.010000 0.010000 0.000000 5785326.932543 -2360015.162516 1638.830720
2020 12 12 11 59 00 5785326.965509 -2360015.154854 1638.822760 0.010000 0.010000 0.010000 0.000000 5785326.943539 -2360015.171771 1638.822760
2020 12 13 11 59 00 5785326.956830 -2360015.141237 1638.841250 0.010000 0.010000 0.010000 0.000000 5785326.934845 -2360015.158166 1638.841250
2020 12 14 11 59 00 5785326.962201 -2360015.144450 1638.822430 0.010000 0.010000 0.010000 0.000000 5785326.940201 -2360015.161390 1638.822430
2020 12 15 11 59 00 5785326.955612 -2360015.147423 1638.834950 0.010000 0.010000 0.010000 0.000000 5785326.933596 -2360015.164375 1638.834950
2020 12 16 11 59 00 5785326.960343 -2360015.142815 1638.825200 0.010000 0.010000 0.010000 0.000000 5785326.938312 -2360015.159779 1638.825200
