################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfCASG: "Piton des Cascades" - Local} (All data)} {RDCCAS0}
# FILENAME: RDCCAS0_all.txt
# COORD:378306	7657451
#
# CREATED: 12-Oct-2022 18:31:27 by sysop@pitondescalumets
# COPYRIGHT: MMXXII, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS Eastern(m) Northern(m) Up(m) dE dN dU Orbit East_treat(m) North_treat(m) Up_treat(m)
2017 01 01 11 59 00 5794924.741299 -2357777.100931 160.043370 0.010000 0.010000 0.010800 0.000000 5794924.741299 -2357777.100931 160.043370
2017 01 02 11 59 00 5794924.744520 -2357777.113104 160.047060 0.010000 0.010000 0.010000 0.000000 5794924.744505 -2357777.113116 160.047060
2017 01 03 11 59 00 5794924.742251 -2357777.096317 160.063670 0.010000 0.010000 0.010000 0.000000 5794924.742220 -2357777.096340 160.063670
2017 01 04 11 59 00 5794924.733002 -2357777.107420 160.050730 0.010000 0.010000 0.010000 0.000000 5794924.732956 -2357777.107455 160.050730
2017 01 05 11 59 00 5794924.748903 -2357777.114722 160.062270 0.010000 0.010000 0.010000 0.000000 5794924.748842 -2357777.114769 160.062270
2017 01 06 11 59 00 5794924.737614 -2357777.100885 160.059230 0.010000 0.010000 0.010000 0.000000 5794924.737538 -2357777.100944 160.059230
2017 01 07 11 59 00 5794924.751325 -2357777.101528 160.038770 0.010000 0.010000 0.010000 0.000000 5794924.751233 -2357777.101599 160.038770
2017 01 08 11 59 00 5794924.738616 -2357777.097671 160.057320 0.010000 0.010000 0.010000 0.000000 5794924.738509 -2357777.097753 160.057320
2017 01 09 11 59 00 5794924.743547 -2357777.111924 160.061630 0.010000 0.010000 0.010000 0.000000 5794924.743425 -2357777.112018 160.061630
2017 01 10 11 59 00 5794924.744768 -2357777.102787 160.070180 0.010000 0.010000 0.010000 0.000000 5794924.744630 -2357777.102892 160.070180
2017 01 11 11 59 00 5794924.746009 -2357777.104870 160.058310 0.010000 0.010000 0.010000 0.000000 5794924.745856 -2357777.104987 160.058310
2017 01 12 11 59 00 5794924.747590 -2357777.105242 160.053570 0.010000 0.010000 0.010000 0.000000 5794924.747422 -2357777.105372 160.053570
2017 01 13 11 59 00 5794924.722891 -2357777.100755 160.077420 0.010000 0.010000 0.010050 0.000000 5794924.722708 -2357777.100896 160.077420
2017 01 14 11 59 00 5794924.739502 -2357777.097998 160.046890 0.010000 0.010000 0.010000 0.000000 5794924.739303 -2357777.098151 160.046890
2017 01 15 11 59 00 5794924.754243 -2357777.106891 160.073350 0.010000 0.010000 0.011330 0.000000 5794924.754029 -2357777.107055 160.073350
2017 01 16 11 59 00 5794924.745374 -2357777.102484 160.053640 0.010000 0.010000 0.010380 0.000000 5794924.745145 -2357777.102660 160.053640
2017 01 17 11 59 00 5794924.732345 -2357777.106007 160.066930 0.010000 0.010000 0.010070 0.000000 5794924.732101 -2357777.106195 160.066930
2017 01 22 11 59 00 5794924.743780 -2357777.109381 160.063960 0.010000 0.010000 0.010000 0.000000 5794924.743459 -2357777.109628 160.063960
2017 01 23 11 59 00 5794924.737481 -2357777.106854 160.052550 0.010000 0.010000 0.010000 0.000000 5794924.737145 -2357777.107112 160.052550
2017 01 24 11 59 00 5794924.747722 -2357777.095297 160.072910 0.010000 0.010000 0.010000 0.000000 5794924.747371 -2357777.095567 160.072910
2017 01 25 11 59 00 5794924.744443 -2357777.097880 160.086040 0.010000 0.010000 0.010000 0.000000 5794924.744077 -2357777.098161 160.086040
2017 01 26 11 59 00 5794924.738164 -2357777.103452 160.086290 0.010000 0.010000 0.010360 0.000000 5794924.737782 -2357777.103746 160.086290
2017 01 27 11 59 00 5794924.736335 -2357777.100465 160.052950 0.010000 0.010000 0.010000 0.000000 5794924.735938 -2357777.100770 160.052950
2017 01 28 11 59 00 5794924.724496 -2357777.102248 160.073030 0.010000 0.010000 0.010000 0.000000 5794924.724084 -2357777.102565 160.073030
2017 01 29 11 59 00 5794924.741237 -2357777.102551 160.061000 0.010000 0.010000 0.010000 0.000000 5794924.740810 -2357777.102880 160.061000
2017 01 30 11 59 00 5794924.730168 -2357777.098724 160.051370 0.010000 0.010000 0.010000 0.000000 5794924.729725 -2357777.099064 160.051370
2017 01 31 11 59 00 5794924.729319 -2357777.102007 160.067150 0.010000 0.010000 0.010000 0.000000 5794924.728861 -2357777.102359 160.067150
2017 02 04 11 59 00 5794924.741513 -2357777.108458 160.070050 0.010000 0.010000 0.010000 0.000000 5794924.740994 -2357777.108857 160.070050
2017 02 05 11 59 00 5794924.727054 -2357777.094081 160.054290 0.010000 0.010000 0.011730 0.000000 5794924.726520 -2357777.094492 160.054290
2017 02 06 11 59 00 5794924.746305 -2357777.107044 160.064610 0.010000 0.010000 0.010940 0.000000 5794924.745756 -2357777.107466 160.064610
2017 02 07 11 59 00 5794924.745695 -2357777.107517 160.073560 0.010000 0.010000 0.010350 0.000000 5794924.745131 -2357777.107951 160.073560
2017 02 08 11 59 00 5794924.725696 -2357777.111200 160.075480 0.010000 0.010000 0.011520 0.000000 5794924.725117 -2357777.111646 160.075480
2017 02 09 11 59 00 5794924.737767 -2357777.106882 160.070140 0.010000 0.010000 0.010480 0.000000 5794924.737173 -2357777.107340 160.070140
2017 02 10 11 59 00 5794924.738948 -2357777.110885 160.056260 0.010000 0.010000 0.010000 0.000000 5794924.738339 -2357777.111355 160.056260
2017 02 11 11 59 00 5794924.747549 -2357777.103268 160.065110 0.010000 0.010000 0.010000 0.000000 5794924.746924 -2357777.103749 160.065110
2017 02 12 11 59 00 5794924.723340 -2357777.108451 160.073160 0.010000 0.010000 0.010000 0.000000 5794924.722700 -2357777.108944 160.073160
2017 02 13 11 59 00 5794924.730671 -2357777.104664 160.071260 0.010000 0.010000 0.010000 0.000000 5794924.730016 -2357777.105169 160.071260
2017 02 14 11 59 00 5794924.740772 -2357777.109807 160.062560 0.010000 0.010000 0.010000 0.000000 5794924.740102 -2357777.110323 160.062560
2017 02 15 11 59 00 5794924.731373 -2357777.104449 160.053740 0.010000 0.010000 0.010000 0.000000 5794924.730687 -2357777.104978 160.053740
2017 02 16 11 59 00 5794924.741424 -2357777.112032 160.047390 0.010000 0.010000 0.010000 0.000000 5794924.740723 -2357777.112572 160.047390
2017 02 17 11 59 00 5794924.737925 -2357777.096695 160.057160 0.010000 0.010000 0.010000 0.000000 5794924.737209 -2357777.097247 160.057160
2017 02 21 11 59 00 5794924.739749 -2357777.110847 160.074270 0.010000 0.010000 0.011320 0.000000 5794924.738972 -2357777.111445 160.074270
2017 02 22 11 59 00 5794924.739260 -2357777.102689 160.063140 0.010000 0.010000 0.010000 0.000000 5794924.738468 -2357777.103300 160.063140
2017 02 23 11 59 00 5794924.725791 -2357777.104252 160.060500 0.010000 0.010000 0.010000 0.000000 5794924.724983 -2357777.104875 160.060500
2017 02 24 11 59 00 5794924.724442 -2357777.109125 160.049820 0.010000 0.010000 0.010000 0.000000 5794924.723619 -2357777.109759 160.049820
