################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfCRAG: "Piton de Crac" - Local} (All data)} {RDCCRA0}
# FILENAME: RDCCRA0_all.txt
# COORD: 371091	7652625
#
# CREATED: 12-Oct-2022 18:31:42 by sysop@pitondescalumets
# COPYRIGHT: MMXXII, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS Eastern(m) Northern(m) Up(m) dE dN dU Orbit East_treat(m) North_treat(m) Up_treat(m)
2017 01 01 11 59 00 5785989.949429 -2362574.133411 997.720630 0.010000 0.010000 0.010000 0.000000 5785989.949429 -2362574.133411 997.720630
2017 01 02 11 59 00 5785989.946110 -2362574.149644 997.692490 0.010000 0.010000 0.010000 0.000000 5785989.946095 -2362574.149656 997.692490
2017 01 03 11 59 00 5785989.945601 -2362574.136447 997.704420 0.010000 0.010000 0.010000 0.000000 5785989.945570 -2362574.136470 997.704420
2017 01 04 11 59 00 5785989.934682 -2362574.148710 997.692980 0.010000 0.010000 0.010000 0.000000 5785989.934636 -2362574.148745 997.692980
2017 01 05 11 59 00 5785989.948483 -2362574.151232 997.688640 0.010000 0.010000 0.010260 0.000000 5785989.948422 -2362574.151279 997.688640
2017 01 06 11 59 00 5785989.937574 -2362574.143155 997.696640 0.010000 0.010000 0.010000 0.000000 5785989.937498 -2362574.143214 997.696640
2017 01 07 11 59 00 5785989.952255 -2362574.144168 997.678930 0.010000 0.010000 0.010000 0.000000 5785989.952163 -2362574.144239 997.678930
2017 01 08 11 59 00 5785989.941456 -2362574.136841 997.689980 0.010000 0.010000 0.010000 0.000000 5785989.941349 -2362574.136923 997.689980
2017 01 09 11 59 00 5785989.951477 -2362574.152284 997.691220 0.010000 0.010000 0.010000 0.000000 5785989.951355 -2362574.152378 997.691220
2017 01 10 11 59 00 5785989.943698 -2362574.144717 997.694460 0.010000 0.010000 0.010000 0.000000 5785989.943560 -2362574.144822 997.694460
2017 01 11 11 59 00 5785989.945519 -2362574.145100 997.702820 0.010000 0.010000 0.010000 0.000000 5785989.945366 -2362574.145217 997.702820
2017 01 12 11 59 00 5785989.947630 -2362574.147602 997.695950 0.010000 0.010000 0.010000 0.000000 5785989.947462 -2362574.147732 997.695950
2017 01 13 11 59 00 5785989.927551 -2362574.143065 997.727800 0.010000 0.010000 0.010000 0.000000 5785989.927368 -2362574.143206 997.727800
2017 01 14 11 59 00 5785989.939212 -2362574.138588 997.697950 0.010000 0.010000 0.010000 0.000000 5785989.939013 -2362574.138741 997.697950
2017 01 15 11 59 00 5785989.959423 -2362574.146121 997.743140 0.010000 0.010000 0.013170 0.000000 5785989.959209 -2362574.146285 997.743140
2017 01 16 11 59 00 5785989.953554 -2362574.148594 997.701720 0.010000 0.010000 0.010970 0.000000 5785989.953325 -2362574.148770 997.701720
