################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfDERG: "Dolomieu Est" - Local} (All data)} {RDCDER0}
# FILENAME: RDCDER0_all.txt
# COORD:367216	7650518
#
# CREATED: 12-Oct-2022 18:31:54 by sysop@pitondescalumets
# COPYRIGHT: MMXXII, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS Eastern(m) Northern(m) Up(m) dE dN dU Orbit East_treat(m) North_treat(m) Up_treat(m)
2017 01 01 11 59 00 5781313.217879 -2364662.736181 2489.240030 0.010000 0.010000 0.010000 0.000000 5781313.217879 -2364662.736181 2489.240030
2017 01 02 11 59 00 5781313.225880 -2364662.752154 2489.227080 0.010000 0.010000 0.010000 0.000000 5781313.225865 -2364662.752166 2489.227080
2017 01 03 11 59 00 5781313.222141 -2364662.736697 2489.228460 0.010000 0.010000 0.010000 0.000000 5781313.222110 -2364662.736720 2489.228460
2017 01 04 11 59 00 5781313.211812 -2364662.747910 2489.219320 0.010000 0.010000 0.010000 0.000000 5781313.211766 -2364662.747945 2489.219320
2017 01 05 11 59 00 5781313.227103 -2364662.751942 2489.223210 0.010000 0.010000 0.010000 0.000000 5781313.227042 -2364662.751989 2489.223210
2017 01 06 11 59 00 5781313.216374 -2364662.742715 2489.228960 0.010000 0.010000 0.010000 0.000000 5781313.216298 -2364662.742774 2489.228960
2017 01 07 11 59 00 5781313.227545 -2364662.742708 2489.203620 0.010000 0.010000 0.010000 0.000000 5781313.227453 -2364662.742779 2489.203620
2017 01 08 11 59 00 5781313.219056 -2364662.737931 2489.217050 0.010000 0.010000 0.010000 0.000000 5781313.218949 -2364662.738013 2489.217050
2017 01 09 11 59 00 5781313.225947 -2364662.752684 2489.222810 0.010000 0.010000 0.010000 0.000000 5781313.225825 -2364662.752778 2489.222810
2017 01 10 11 59 00 5781313.222138 -2364662.744087 2489.219030 0.010000 0.010000 0.010000 0.000000 5781313.222000 -2364662.744192 2489.219030
2017 01 11 11 59 00 5781313.223139 -2364662.744260 2489.218590 0.010000 0.010000 0.010000 0.000000 5781313.222986 -2364662.744377 2489.218590
2017 01 12 11 59 00 5781313.224690 -2364662.746092 2489.218820 0.010000 0.010000 0.010000 0.000000 5781313.224522 -2364662.746222 2489.218820
2017 01 13 11 59 00 5781313.204471 -2364662.741595 2489.245170 0.010000 0.010000 0.010000 0.000000 5781313.204288 -2364662.741736 2489.245170
2017 01 14 11 59 00 5781313.217652 -2364662.739588 2489.218330 0.010000 0.010000 0.010000 0.000000 5781313.217453 -2364662.739741 2489.218330
2017 01 15 11 59 00 5781313.233263 -2364662.743721 2489.234860 0.010000 0.010000 0.010000 0.000000 5781313.233049 -2364662.743885 2489.234860
2017 01 16 11 59 00 5781313.226964 -2364662.744644 2489.233680 0.010000 0.010000 0.010000 0.000000 5781313.226735 -2364662.744820 2489.233680
2017 01 17 11 59 00 5781313.210085 -2364662.745937 2489.215890 0.010000 0.010000 0.010000 0.000000 5781313.209841 -2364662.746125 2489.215890
2017 01 22 11 59 00 5781313.221760 -2364662.751381 2489.215620 0.010000 0.010000 0.010000 0.000000 5781313.221439 -2364662.751628 2489.215620
