################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfDSRG: "Dolomieu Sud" - Local} (All data)} {RDCDSR0}
# FILENAME: RDCDSR0_all.txt
# COORD: 366715	7649711	
#
# CREATED: 12-Oct-2022 18:32:06 by sysop@pitondescalumets
# COPYRIGHT: MMXXII, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS Eastern(m) Northern(m) Up(m) dE dN dU Orbit East_treat(m) North_treat(m) Up_treat(m)
2017 01 01 11 59 00 5780581.378399 -2365470.631021 2519.314480 0.010000 0.010000 0.010000 0.000000 5780581.378399 -2365470.631021 2519.314480
2017 01 02 11 59 00 5780581.384780 -2365470.645684 2519.303360 0.010000 0.010000 0.010000 0.000000 5780581.384765 -2365470.645696 2519.303360
2017 01 03 11 59 00 5780581.381621 -2365470.630847 2519.300280 0.010000 0.010000 0.010000 0.000000 5780581.381590 -2365470.630870 2519.300280
2017 01 04 11 59 00 5780581.371132 -2365470.642050 2519.294060 0.010000 0.010000 0.010000 0.000000 5780581.371086 -2365470.642085 2519.294060
2017 01 05 11 59 00 5780581.386223 -2365470.646462 2519.298670 0.010000 0.010000 0.010000 0.000000 5780581.386162 -2365470.646509 2519.298670
2017 01 06 11 59 00 5780581.375674 -2365470.636325 2519.302560 0.010000 0.010000 0.010000 0.000000 5780581.375598 -2365470.636384 2519.302560
2017 01 07 11 59 00 5780581.387765 -2365470.636648 2519.279770 0.010000 0.010000 0.010000 0.000000 5780581.387673 -2365470.636719 2519.279770
2017 01 08 11 59 00 5780581.378626 -2365470.631201 2519.292640 0.010000 0.010000 0.010000 0.000000 5780581.378519 -2365470.631283 2519.292640
2017 01 09 11 59 00 5780581.386617 -2365470.646454 2519.298200 0.010000 0.010000 0.010000 0.000000 5780581.386495 -2365470.646548 2519.298200
2017 01 10 11 59 00 5780581.383448 -2365470.637907 2519.297490 0.010000 0.010000 0.010000 0.000000 5780581.383310 -2365470.638012 2519.297490
