################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfENOG: "Enclos Nord Ouest" - Local} (All data)} {RDCENO0}
# FILENAME: RDCENO0_all.txt
# COORD:364584	7651211
#
# CREATED: 12-Oct-2022 18:32:29 by sysop@pitondescalumets
# COPYRIGHT: MMXXII, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS Eastern(m) Northern(m) Up(m) dE dN dU Orbit East_treat(m) North_treat(m) Up_treat(m)
2017 01 01 11 59 00 5778912.044809 -2363944.235711 2248.004770 0.010000 0.010000 0.010000 0.000000 5778912.044809 -2363944.235711 2248.004770
2017 01 02 11 59 00 5778912.052560 -2363944.252044 2247.998910 0.010000 0.010000 0.010000 0.000000 5778912.052545 -2363944.252056 2247.998910
2017 01 03 11 59 00 5778912.048561 -2363944.238367 2247.989460 0.010000 0.010000 0.010000 0.000000 5778912.048530 -2363944.238390 2247.989460
2017 01 04 11 59 00 5778912.040012 -2363944.253730 2247.960620 0.010000 0.010000 0.010000 0.000000 5778912.039966 -2363944.253765 2247.960620
2017 01 05 11 59 00 5778912.055933 -2363944.251852 2247.995870 0.010000 0.010000 0.010000 0.000000 5778912.055872 -2363944.251899 2247.995870
2017 01 06 11 59 00 5778912.043284 -2363944.243415 2247.993190 0.010000 0.010000 0.010000 0.000000 5778912.043208 -2363944.243474 2247.993190
2017 01 07 11 59 00 5778912.058105 -2363944.242068 2247.975110 0.010000 0.010000 0.010000 0.000000 5778912.058013 -2363944.242139 2247.975110
2017 01 08 11 59 00 5778912.045236 -2363944.236221 2247.990360 0.010000 0.010000 0.010000 0.000000 5778912.045129 -2363944.236303 2247.990360
2017 01 09 11 59 00 5778912.054597 -2363944.251544 2247.989780 0.010000 0.010000 0.010000 0.000000 5778912.054475 -2363944.251638 2247.989780
2017 01 10 11 59 00 5778912.050208 -2363944.242467 2247.992290 0.010000 0.010000 0.010000 0.000000 5778912.050070 -2363944.242572 2247.992290
2017 01 11 11 59 00 5778912.050829 -2363944.243620 2247.993700 0.010000 0.010000 0.010000 0.000000 5778912.050676 -2363944.243737 2247.993700
2017 01 12 11 59 00 5778912.055830 -2363944.249122 2247.991320 0.010000 0.010000 0.010000 0.000000 5778912.055662 -2363944.249252 2247.991320
2017 01 13 11 59 00 5778912.034351 -2363944.247045 2248.014730 0.010000 0.010000 0.010000 0.000000 5778912.034168 -2363944.247186 2248.014730
2017 01 14 11 59 00 5778912.046832 -2363944.239898 2247.997100 0.010000 0.010000 0.010000 0.000000 5778912.046633 -2363944.240051 2247.997100
2017 01 15 11 59 00 5778912.056993 -2363944.240641 2248.010570 0.010000 0.010000 0.010000 0.000000 5778912.056779 -2363944.240805 2248.010570
2017 01 16 11 59 00 5778912.056994 -2363944.244704 2248.003720 0.010000 0.010000 0.010000 0.000000 5778912.056765 -2363944.244880 2248.003720
2017 01 17 11 59 00 5778912.040715 -2363944.243577 2247.992760 0.010000 0.010000 0.010000 0.000000 5778912.040471 -2363944.243765 2247.992760
2017 01 22 11 59 00 5778912.053030 -2363944.251481 2247.989880 0.010000 0.010000 0.010000 0.000000 5778912.052709 -2363944.251728 2247.989880
2017 01 23 11 59 00 5778912.046901 -2363944.248044 2247.984920 0.010000 0.010000 0.010000 0.000000 5778912.046565 -2363944.248302 2247.984920
2017 01 24 11 59 00 5778912.054312 -2363944.232907 2248.001390 0.010000 0.010000 0.010000 0.000000 5778912.053961 -2363944.233177 2248.001390
2017 01 25 11 59 00 5778912.045853 -2363944.235370 2247.995840 0.010000 0.010000 0.010000 0.000000 5778912.045487 -2363944.235651 2247.995840
2017 01 26 11 59 00 5778912.046624 -2363944.241842 2247.987080 0.010000 0.010000 0.010000 0.000000 5778912.046242 -2363944.242136 2247.987080
2017 01 27 11 59 00 5778912.041465 -2363944.237055 2247.991850 0.010000 0.010000 0.010000 0.000000 5778912.041068 -2363944.237360 2247.991850
2017 01 28 11 59 00 5778912.031316 -2363944.241168 2248.018790 0.010000 0.010000 0.010000 0.000000 5778912.030904 -2363944.241485 2248.018790
2017 01 29 11 59 00 5778912.049157 -2363944.237831 2248.007820 0.010000 0.010000 0.010000 0.000000 5778912.048730 -2363944.238160 2248.007820
