################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfFEUG: "Phare St-Philippe" - Local} (All data)} {RDCFEUG}
# FILENAME: RDCFEUG_all.txt
# COORD:375819 7641025
#
#
# CREATED: 12-Oct-2022 18:32:45 by sysop@pitondescalumets
# COPYRIGHT: MMXXII, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS Eastern(m) Northern(m) Up(m) dE dN dU Orbit East_treat(m) North_treat(m) Up_treat(m)
2017 01 01 11 59 00 5786454.990519 -2374277.338811 67.538260 0.010000 0.010000 0.010480 0.000000 5786454.990519 -2374277.338811 67.538260
2017 01 02 11 59 00 5786454.994840 -2374277.352614 67.534590 0.010000 0.010000 0.010000 0.000000 5786454.994825 -2374277.352626 67.534590
2017 01 03 11 59 00 5786454.990761 -2374277.336997 67.539450 0.010000 0.010000 0.010000 0.000000 5786454.990730 -2374277.337020 67.539450
2017 01 04 11 59 00 5786454.983652 -2374277.347330 67.540310 0.010000 0.010000 0.010000 0.000000 5786454.983606 -2374277.347365 67.540310
2017 01 05 11 59 00 5786455.000563 -2374277.351372 67.547610 0.010000 0.010000 0.010930 0.000000 5786455.000502 -2374277.351419 67.547610
2017 01 06 11 59 00 5786454.982664 -2374277.339935 67.545640 0.010000 0.010000 0.010000 0.000000 5786454.982588 -2374277.339994 67.545640
2017 01 07 11 59 00 5786454.998065 -2374277.345198 67.518230 0.010000 0.010000 0.010000 0.000000 5786454.997973 -2374277.345269 67.518230
2017 01 08 11 59 00 5786454.987586 -2374277.338231 67.534770 0.010000 0.010000 0.010000 0.000000 5786454.987479 -2374277.338313 67.534770
2017 01 09 11 59 00 5786454.995197 -2374277.350094 67.544130 0.010000 0.010000 0.010000 0.000000 5786454.995075 -2374277.350188 67.544130
2017 01 10 11 59 00 5786454.989578 -2374277.341697 67.543720 0.010000 0.010000 0.010000 0.000000 5786454.989440 -2374277.341802 67.543720
2017 01 11 11 59 00 5786454.992549 -2374277.344930 67.531130 0.010000 0.010000 0.010000 0.000000 5786454.992396 -2374277.345047 67.531130
2017 01 12 11 59 00 5786454.998320 -2374277.351152 67.535170 0.010000 0.010000 0.010000 0.000000 5786454.998152 -2374277.351282 67.535170
2017 01 13 11 59 00 5786454.972421 -2374277.343245 67.571310 0.010000 0.010000 0.010860 0.000000 5786454.972238 -2374277.343386 67.571310
2017 01 14 11 59 00 5786454.987982 -2374277.339148 67.535440 0.010000 0.010000 0.010000 0.000000 5786454.987783 -2374277.339301 67.535440
2017 01 15 11 59 00 5786455.000633 -2374277.347961 67.573010 0.010000 0.010000 0.013460 0.000000 5786455.000419 -2374277.348125 67.573010
2017 01 16 11 59 00 5786454.990534 -2374277.343614 67.527580 0.010000 0.010000 0.011600 0.000000 5786454.990305 -2374277.343790 67.527580
2017 01 17 11 59 00 5786454.982275 -2374277.347507 67.538190 0.010000 0.010000 0.011890 0.000000 5786454.982031 -2374277.347695 67.538190
2017 01 22 11 59 00 5786454.994330 -2374277.351591 67.532950 0.010000 0.010000 0.011480 0.000000 5786454.994009 -2374277.351838 67.532950
2017 01 23 11 59 00 5786454.985671 -2374277.345064 67.535480 0.010000 0.010000 0.010000 0.000000 5786454.985335 -2374277.345322 67.535480
2017 01 24 11 59 00 5786454.992322 -2374277.334317 67.530220 0.010000 0.010000 0.010000 0.000000 5786454.991971 -2374277.334587 67.530220
2017 01 25 11 59 00 5786454.989023 -2374277.337620 67.540680 0.010000 0.010000 0.020000 0.000000 5786454.988657 -2374277.337901 67.540680
2017 01 26 11 59 00 5786454.983054 -2374277.340722 67.533540 0.010000 0.010000 0.011040 0.000000 5786454.982672 -2374277.341016 67.533540
2017 01 27 11 59 00 5786454.986705 -2374277.335105 67.542150 0.010000 0.010000 0.010210 0.000000 5786454.986308 -2374277.335410 67.542150
2017 01 28 11 59 00 5786454.973256 -2374277.341658 67.550270 0.010000 0.010000 0.010000 0.000000 5786454.972844 -2374277.341975 67.550270
2017 01 29 11 59 00 5786454.991607 -2374277.340561 67.545540 0.010000 0.010000 0.010000 0.000000 5786454.991180 -2374277.340890 67.545540
2017 01 30 11 59 00 5786454.981808 -2374277.337314 67.540890 0.010000 0.010000 0.011560 0.000000 5786454.981365 -2374277.337654 67.540890
2017 01 31 11 59 00 5786454.978679 -2374277.342827 67.536880 0.010000 0.010000 0.010000 0.000000 5786454.978221 -2374277.343179 67.536880
2017 02 04 11 59 00 5786454.990673 -2374277.347888 67.546570 0.010000 0.010000 0.010000 0.000000 5786454.990154 -2374277.348287 67.546570
2017 02 05 11 59 00 5786454.974424 -2374277.333111 67.519430 0.010000 0.010000 0.010450 0.000000 5786454.973890 -2374277.333522 67.519430
2017 02 06 11 59 00 5786454.995725 -2374277.353794 67.547160 0.010000 0.010000 0.010690 0.000000 5786454.995176 -2374277.354216 67.547160
