################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfFOAG: "Ch�teau Fort" - Local} (All data)} {RDCFOA0}
# FILENAME: RDCFOA0_all.txt
# COORD:367062	7648326
#
# CREATED: 12-Oct-2022 18:33:08 by sysop@pitondescalumets
# COPYRIGHT: MMXXII, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS Eastern(m) Northern(m) Up(m) dE dN dU Orbit East_treat(m) North_treat(m) Up_treat(m)
2017 01 01 11 59 00 5780353.858899 -2366865.992191 2024.777570 0.010000 0.010000 0.010000 0.000000 5780353.858899 -2366865.992191 2024.777570
2017 01 02 11 59 00 5780353.868670 -2366866.005234 2024.757800 0.010000 0.010000 0.010000 0.000000 5780353.868655 -2366866.005246 2024.757800
2017 01 03 11 59 00 5780353.860841 -2366865.988827 2024.742460 0.010000 0.010000 0.010000 0.000000 5780353.860810 -2366865.988850 2024.742460
2017 01 04 11 59 00 5780353.856072 -2366865.999420 2024.739860 0.010000 0.010000 0.010000 0.000000 5780353.856026 -2366865.999455 2024.739860
2017 01 05 11 59 00 5780353.869813 -2366866.002382 2024.757010 0.010000 0.010000 0.010000 0.000000 5780353.869752 -2366866.002429 2024.757010
2017 01 06 11 59 00 5780353.857824 -2366865.993805 2024.744660 0.010000 0.010000 0.010000 0.000000 5780353.857748 -2366865.993864 2024.744660
2017 01 07 11 59 00 5780353.869435 -2366865.995638 2024.724740 0.010000 0.010000 0.010000 0.000000 5780353.869343 -2366865.995709 2024.724740
2017 01 08 11 59 00 5780353.860576 -2366865.989701 2024.733130 0.010000 0.010000 0.010000 0.000000 5780353.860469 -2366865.989783 2024.733130
2017 01 09 11 59 00 5780353.869577 -2366866.005414 2024.757710 0.010000 0.010000 0.010000 0.000000 5780353.869455 -2366866.005508 2024.757710
2017 01 10 11 59 00 5780353.867078 -2366865.996287 2024.750570 0.010000 0.010000 0.010000 0.000000 5780353.866940 -2366865.996392 2024.750570
2017 01 11 11 59 00 5780353.864759 -2366865.997460 2024.739780 0.010000 0.010000 0.010000 0.000000 5780353.864606 -2366865.997577 2024.739780
2017 01 12 11 59 00 5780353.867890 -2366865.999802 2024.750760 0.010000 0.010000 0.010000 0.000000 5780353.867722 -2366865.999932 2024.750760
2017 01 13 11 59 00 5780353.848641 -2366865.995645 2024.770530 0.010000 0.010000 0.010000 0.000000 5780353.848458 -2366865.995786 2024.770530
2017 01 14 11 59 00 5780353.861872 -2366865.989918 2024.742920 0.010000 0.010000 0.010000 0.000000 5780353.861673 -2366865.990071 2024.742920
2017 01 15 11 59 00 5780353.876723 -2366865.995321 2024.769640 0.010000 0.010000 0.010000 0.000000 5780353.876509 -2366865.995485 2024.769640
2017 01 16 11 59 00 5780353.872124 -2366865.997964 2024.765850 0.010000 0.010000 0.010000 0.000000 5780353.871895 -2366865.998140 2024.765850
2017 01 17 11 59 00 5780353.855615 -2366865.996217 2024.744280 0.010000 0.010000 0.010000 0.000000 5780353.855371 -2366865.996405 2024.744280
2017 01 22 11 59 00 5780353.866110 -2366866.007031 2024.745540 0.010000 0.010000 0.010000 0.000000 5780353.865789 -2366866.007278 2024.745540
2017 01 23 11 59 00 5780353.862151 -2366866.000074 2024.742120 0.010000 0.010000 0.010000 0.000000 5780353.861815 -2366866.000332 2024.742120
2017 01 24 11 59 00 5780353.869382 -2366865.989187 2024.759280 0.010000 0.010000 0.010000 0.000000 5780353.869031 -2366865.989457 2024.759280
2017 01 25 11 59 00 5780353.863213 -2366865.989110 2024.744610 0.010000 0.010000 0.010000 0.000000 5780353.862847 -2366865.989391 2024.744610
2017 01 26 11 59 00 5780353.863444 -2366865.993892 2024.751000 0.010000 0.010000 0.010000 0.000000 5780353.863062 -2366865.994186 2024.751000
2017 01 27 11 59 00 5780353.861275 -2366865.995435 2024.737370 0.010000 0.010000 0.010000 0.000000 5780353.860878 -2366865.995740 2024.737370
2017 01 28 11 59 00 5780353.851736 -2366865.998028 2024.768970 0.010000 0.010000 0.010000 0.000000 5780353.851324 -2366865.998345 2024.768970
2017 01 29 11 59 00 5780353.867877 -2366865.997511 2024.756750 0.010000 0.010000 0.010000 0.000000 5780353.867450 -2366865.997840 2024.756750
2017 01 30 11 59 00 5780353.856968 -2366865.996414 2024.755100 0.010000 0.010000 0.010000 0.000000 5780353.856525 -2366865.996754 2024.755100
2017 01 31 11 59 00 5780353.991259 -2366865.997517 2024.959190 0.010000 0.010000 0.023890 0.000000 5780353.990801 -2366865.997869 2024.959190
2017 02 04 11 59 00 5780354.223173 -2366865.967238 2025.131740 0.010000 0.010000 0.010000 0.000000 5780354.222654 -2366865.967637 2025.131740
2017 02 05 11 59 00 5780354.204914 -2366865.956351 2025.120080 0.010000 0.010000 0.010000 0.000000 5780354.204380 -2366865.956762 2025.120080
2017 02 06 11 59 00 5780354.224225 -2366865.973744 2025.139120 0.010000 0.010000 0.010000 0.000000 5780354.223676 -2366865.974166 2025.139120
2017 02 07 11 59 00 5780354.220035 -2366865.973397 2025.140750 0.010000 0.010000 0.010460 0.000000 5780354.219471 -2366865.973831 2025.140750
2017 02 08 11 59 00 5780354.209376 -2366865.964140 2025.153200 0.010000 0.010000 0.011300 0.000000 5780354.208797 -2366865.964586 2025.153200
2017 02 09 11 59 00 5780354.219807 -2366865.967922 2025.093230 0.010000 0.010000 0.010000 0.000000 5780354.219213 -2366865.968380 2025.093230
2017 02 10 11 59 00 5780354.223158 -2366865.971335 2025.117290 0.010000 0.010000 0.010000 0.000000 5780354.222549 -2366865.971805 2025.117290
2017 02 11 11 59 00 5780354.227939 -2366865.958198 2025.134770 0.010000 0.010000 0.010000 0.000000 5780354.227314 -2366865.958679 2025.134770
2017 02 12 11 59 00 5780354.206110 -2366865.969111 2025.141410 0.010000 0.010000 0.010000 0.000000 5780354.205470 -2366865.969604 2025.141410
2017 02 13 11 59 00 5780354.209451 -2366865.966324 2025.126130 0.010000 0.010000 0.010000 0.000000 5780354.208796 -2366865.966829 2025.126130
2017 02 14 11 59 00 5780354.222482 -2366865.969317 2025.118560 0.010000 0.010000 0.010000 0.000000 5780354.221812 -2366865.969833 2025.118560
2017 02 15 11 59 00 5780354.211533 -2366865.969289 2025.106740 0.010000 0.010000 0.010000 0.000000 5780354.210847 -2366865.969818 2025.106740
2017 02 16 11 59 00 5780354.224194 -2366865.980642 2025.105560 0.010000 0.010000 0.010000 0.000000 5780354.223493 -2366865.981182 2025.105560
2017 02 17 11 59 00 5780354.223285 -2366865.960015 2025.110070 0.010000 0.010000 0.010000 0.000000 5780354.222569 -2366865.960567 2025.110070
2017 02 21 11 59 00 5780354.219469 -2366865.976647 2025.116460 0.010000 0.010000 0.010000 0.000000 5780354.218692 -2366865.977245 2025.116460
2017 02 22 11 59 00 5780354.219510 -2366865.970059 2025.102830 0.010000 0.010000 0.010000 0.000000 5780354.218718 -2366865.970670 2025.102830
2017 02 23 11 59 00 5780354.207941 -2366865.971922 2025.111960 0.010000 0.010000 0.010000 0.000000 5780354.207133 -2366865.972545 2025.111960
2017 02 24 11 59 00 5780354.209282 -2366865.977905 2025.111140 0.010000 0.010000 0.010000 0.000000 5780354.208459 -2366865.978539 2025.111140
2017 02 25 11 59 00 5780354.218493 -2366865.976708 2025.115970 0.010000 0.010000 0.010000 0.000000 5780354.217655 -2366865.977354 2025.115970
2017 02 26 11 59 00 5780354.221864 -2366865.977521 2025.112260 0.010000 0.010000 0.010000 0.000000 5780354.221011 -2366865.978178 2025.112260
2017 02 27 11 59 00 5780354.220135 -2366865.979554 2025.110000 0.010000 0.010000 0.010000 0.000000 5780354.219266 -2366865.980223 2025.110000
2017 02 28 11 59 00 5780354.225206 -2366865.986517 2025.104370 0.010000 0.010000 0.010000 0.000000 5780354.224322 -2366865.987197 2025.104370
2017 03 01 11 59 00 5780354.213407 -2366865.982259 2025.093550 0.010000 0.010000 0.010000 0.000000 5780354.212508 -2366865.982952 2025.093550
2017 03 02 11 59 00 5780354.217498 -2366865.990832 2025.101560 0.010000 0.010000 0.010000 0.000000 5780354.216584 -2366865.991537 2025.101560
2017 03 03 11 59 00 5780354.222599 -2366865.987325 2025.108300 0.010000 0.010000 0.010000 0.000000 5780354.221669 -2366865.988041 2025.108300
2017 03 04 11 59 00 5780354.225320 -2366865.989068 2025.123900 0.010000 0.010000 0.010000 0.000000 5780354.224375 -2366865.989796 2025.123900
2017 03 05 11 59 00 5780354.220451 -2366865.987761 2025.120180 0.010000 0.010000 0.010000 0.000000 5780354.219491 -2366865.988500 2025.120180
2017 03 06 11 59 00 5780354.227752 -2366865.988634 2025.116120 0.010000 0.010000 0.010000 0.000000 5780354.226777 -2366865.989385 2025.116120
2017 03 07 11 59 00 5780354.225893 -2366865.993717 2025.114520 0.010000 0.010000 0.010000 0.000000 5780354.224902 -2366865.994480 2025.114520
2017 03 08 11 59 00 5780354.233004 -2366865.983119 2025.109930 0.010000 0.010000 0.010000 0.000000 5780354.231998 -2366865.983894 2025.109930
2017 03 09 11 59 00 5780354.233355 -2366865.979742 2025.107960 0.010000 0.010000 0.010000 0.000000 5780354.232334 -2366865.980529 2025.107960
2017 03 10 11 59 00 5780354.225406 -2366865.977275 2025.100430 0.010000 0.010000 0.010000 0.000000 5780354.224370 -2366865.978073 2025.100430
2017 03 11 11 59 00 5780354.228627 -2366865.986828 2025.100140 0.010000 0.010000 0.010000 0.000000 5780354.227575 -2366865.987638 2025.100140
2017 03 12 11 59 00 5780354.217488 -2366865.990621 2025.087920 0.010000 0.010000 0.010000 0.000000 5780354.216421 -2366865.991443 2025.087920
2017 03 13 11 59 00 5780354.217669 -2366865.983934 2025.088800 0.010000 0.010000 0.010000 0.000000 5780354.216587 -2366865.984767 2025.088800
2017 03 14 11 59 00 5780354.218890 -2366865.987967 2025.099870 0.010000 0.010000 0.010000 0.000000 5780354.217793 -2366865.988812 2025.099870
2017 03 15 11 59 00 5780354.227481 -2366865.987999 2025.086260 0.010000 0.010000 0.010000 0.000000 5780354.226368 -2366865.988856 2025.086260
2017 03 16 11 59 00 5780354.231812 -2366865.991402 2025.107980 0.010000 0.010000 0.010000 0.000000 5780354.230684 -2366865.992271 2025.107980
2017 03 17 11 59 00 5780354.217053 -2366865.980795 2025.093400 0.010000 0.010000 0.010000 0.000000 5780354.215910 -2366865.981676 2025.093400
2017 03 21 11 59 00 5780354.216747 -2366865.985927 2025.085160 0.010000 0.010000 0.010000 0.000000 5780354.215543 -2366865.986854 2025.085160
2017 03 22 11 59 00 5780354.216458 -2366865.992849 2025.100860 0.010000 0.010000 0.010000 0.000000 5780354.215238 -2366865.993789 2025.100860
2017 03 23 11 59 00 5780354.219119 -2366865.979682 2025.099060 0.010000 0.010000 0.010000 0.000000 5780354.217884 -2366865.980633 2025.099060
2017 03 24 11 59 00 5780354.223140 -2366865.981805 2025.105210 0.010000 0.010000 0.010000 0.000000 5780354.221890 -2366865.982768 2025.105210
2017 03 25 11 59 00 5780354.220741 -2366865.981238 2025.092480 0.010000 0.010000 0.010000 0.000000 5780354.219476 -2366865.982212 2025.092480
2017 03 26 11 59 00 5780354.226472 -2366865.979501 2025.124580 0.010000 0.010000 0.010000 0.000000 5780354.225191 -2366865.980487 2025.124580
2017 03 27 11 59 00 5780354.223253 -2366865.982744 2025.124280 0.010000 0.010000 0.010000 0.000000 5780354.221957 -2366865.983742 2025.124280
2017 03 28 11 59 00 5780354.226014 -2366865.974017 2025.104830 0.010000 0.010000 0.010000 0.000000 5780354.224703 -2366865.975026 2025.104830
2017 03 29 11 59 00 5780354.222075 -2366865.981079 2025.101760 0.010000 0.010000 0.010000 0.000000 5780354.220749 -2366865.982101 2025.101760
2017 03 30 11 59 00 5780354.221376 -2366865.976822 2025.108180 0.010000 0.010000 0.010000 0.000000 5780354.220034 -2366865.977855 2025.108180
2017 03 31 11 59 00 5780354.218997 -2366865.972915 2025.121350 0.010000 0.010000 0.010000 0.000000 5780354.217640 -2366865.973960 2025.121350
2017 04 01 11 59 00 5780354.226068 -2366865.975038 2025.099580 0.010000 0.010000 0.010000 0.000000 5780354.224696 -2366865.976095 2025.099580
2017 04 02 11 59 00 5780354.222419 -2366865.981181 2025.107540 0.010000 0.010000 0.010000 0.000000 5780354.221032 -2366865.982249 2025.107540
2017 04 03 11 59 00 5780354.225460 -2366865.981324 2025.111850 0.010000 0.010000 0.010000 0.000000 5780354.224057 -2366865.982404 2025.111850
2017 04 04 11 59 00 5780354.212261 -2366865.983756 2025.095640 0.010000 0.010000 0.010000 0.000000 5780354.210843 -2366865.984848 2025.095640
2017 04 05 11 59 00 5780354.216492 -2366865.986089 2025.103780 0.010000 0.010000 0.010250 0.000000 5780354.215059 -2366865.987193 2025.103780
2017 04 06 11 59 00 5780354.226573 -2366865.982962 2025.125730 0.010000 0.010000 0.010000 0.000000 5780354.225125 -2366865.984077 2025.125730
2017 04 07 11 59 00 5780354.228094 -2366865.981475 2025.108540 0.010000 0.010000 0.010000 0.000000 5780354.226630 -2366865.982602 2025.108540
2017 04 08 11 59 00 5780354.216475 -2366865.983018 2025.119540 0.010000 0.010000 0.010000 0.000000 5780354.214996 -2366865.984157 2025.119540
2017 04 09 11 59 00 5780354.206846 -2366865.978551 2025.132780 0.010000 0.010000 0.010000 0.000000 5780354.205352 -2366865.979701 2025.132780
2017 04 10 11 59 00 5780354.222797 -2366865.985974 2025.117600 0.010000 0.010000 0.010000 0.000000 5780354.221288 -2366865.987136 2025.117600
2017 04 11 11 59 00 5780354.229778 -2366865.990676 2025.115920 0.010000 0.010000 0.010000 0.000000 5780354.228253 -2366865.991850 2025.115920
2017 04 12 11 59 00 5780354.224359 -2366865.985549 2025.107470 0.010000 0.010000 0.010000 0.000000 5780354.222819 -2366865.986735 2025.107470
2017 04 13 11 59 00 5780354.215610 -2366865.984382 2025.106480 0.010000 0.010000 0.010230 0.000000 5780354.214055 -2366865.985580 2025.106480
2017 04 14 11 59 00 5780354.221231 -2366865.986625 2025.115130 0.010000 0.010000 0.010000 0.000000 5780354.219661 -2366865.987834 2025.115130
2017 04 15 11 59 00 5780354.229052 -2366865.985188 2025.115000 0.010000 0.010000 0.010000 0.000000 5780354.227466 -2366865.986409 2025.115000
2017 04 16 11 59 00 5780354.228273 -2366865.986071 2025.105820 0.010000 0.010000 0.010000 0.000000 5780354.226672 -2366865.987303 2025.105820
2017 04 17 11 59 00 5780354.228174 -2366865.987714 2025.109440 0.010000 0.010000 0.010000 0.000000 5780354.226558 -2366865.988958 2025.109440
2017 04 21 11 59 00 5780354.208098 -2366865.985985 2025.108470 0.010000 0.010000 0.010000 0.000000 5780354.206421 -2366865.987276 2025.108470
2017 04 22 11 59 00 5780354.223899 -2366865.985318 2025.102170 0.010000 0.010000 0.010000 0.000000 5780354.222207 -2366865.986621 2025.102170
2017 04 23 11 59 00 5780354.222070 -2366865.992741 2025.105870 0.010000 0.010000 0.010000 0.000000 5780354.220362 -2366865.994056 2025.105870
2017 04 24 11 59 00 5780354.231451 -2366865.992214 2025.105800 0.010000 0.010000 0.010000 0.000000 5780354.229728 -2366865.993540 2025.105800
2017 04 25 11 59 00 5780354.225592 -2366865.992736 2025.096200 0.010000 0.010000 0.010000 0.000000 5780354.223854 -2366865.994075 2025.096200
