################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfFREG: "Fond de la Rivi�re de l''Est" - Local} (All data)} {RDCFREG}
# FILENAME: RDCFREG_all.txt
# COORD:364587	7654957
#
# CREATED: 12-Oct-2022 18:33:21 by sysop@pitondescalumets
# COPYRIGHT: MMXXII, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS Eastern(m) Northern(m) Up(m) dE dN dU Orbit East_treat(m) North_treat(m) Up_treat(m)
2017 01 01 11 59 00 5780292.374929 -2360178.430051 1780.453030 0.010000 0.010000 0.010000 0.000000 5780292.374929 -2360178.430051 1780.453030
2017 01 02 11 59 00 5780292.378860 -2360178.440594 1780.439400 0.010000 0.010000 0.010000 0.000000 5780292.378845 -2360178.440606 1780.439400
2017 01 03 11 59 00 5780292.378251 -2360178.429577 1780.444250 0.010000 0.010000 0.010000 0.000000 5780292.378220 -2360178.429600 1780.444250
2017 01 04 11 59 00 5780292.367572 -2360178.437830 1780.441580 0.010000 0.010000 0.010000 0.000000 5780292.367526 -2360178.437865 1780.441580
2017 01 05 11 59 00 5780292.382193 -2360178.440542 1780.448140 0.010000 0.010000 0.010000 0.000000 5780292.382132 -2360178.440589 1780.448140
2017 01 06 11 59 00 5780292.370084 -2360178.433155 1780.441980 0.010000 0.010000 0.010000 0.000000 5780292.370008 -2360178.433214 1780.441980
2017 01 07 11 59 00 5780292.383935 -2360178.432968 1780.421560 0.010000 0.010000 0.010000 0.000000 5780292.383843 -2360178.433039 1780.421560
2017 01 08 11 59 00 5780292.373096 -2360178.427091 1780.434700 0.010000 0.010000 0.010000 0.000000 5780292.372989 -2360178.427173 1780.434700
2017 01 09 11 59 00 5780292.381457 -2360178.443164 1780.446840 0.010000 0.010000 0.010000 0.000000 5780292.381335 -2360178.443258 1780.446840
2017 01 10 11 59 00 5780292.374588 -2360178.433517 1780.450200 0.010000 0.010000 0.010000 0.000000 5780292.374450 -2360178.433622 1780.450200
2017 01 11 11 59 00 5780292.379839 -2360178.437460 1780.443490 0.010000 0.010000 0.010000 0.000000 5780292.379686 -2360178.437577 1780.443490
2017 01 12 11 59 00 5780292.382940 -2360178.439672 1780.442800 0.010000 0.010000 0.010000 0.000000 5780292.382772 -2360178.439802 1780.442800
2017 01 13 11 59 00 5780292.363901 -2360178.436395 1780.469000 0.010000 0.010000 0.010000 0.000000 5780292.363718 -2360178.436536 1780.469000
2017 01 14 11 59 00 5780292.374182 -2360178.427578 1780.445210 0.010000 0.010000 0.010000 0.000000 5780292.373983 -2360178.427731 1780.445210
2017 01 15 11 59 00 5780292.384373 -2360178.431301 1780.458030 0.010000 0.010000 0.010000 0.000000 5780292.384159 -2360178.431465 1780.458030
2017 01 16 11 59 00 5780292.382074 -2360178.431194 1780.473860 0.010000 0.010000 0.010000 0.000000 5780292.381845 -2360178.431370 1780.473860
2017 01 17 11 59 00 5780292.364295 -2360178.434137 1780.450950 0.010000 0.010000 0.010000 0.000000 5780292.364051 -2360178.434325 1780.450950
2017 01 22 11 59 00 5780292.376800 -2360178.445641 1780.439320 0.010000 0.010000 0.010000 0.000000 5780292.376479 -2360178.445888 1780.439320
2017 01 23 11 59 00 5780292.374991 -2360178.439834 1780.442120 0.010000 0.010000 0.010000 0.000000 5780292.374655 -2360178.440092 1780.442120
2017 01 24 11 59 00 5780292.379692 -2360178.426127 1780.454070 0.010000 0.010000 0.010000 0.000000 5780292.379341 -2360178.426397 1780.454070
2017 01 25 11 59 00 5780292.372593 -2360178.427330 1780.450670 0.010000 0.010000 0.010000 0.000000 5780292.372227 -2360178.427611 1780.450670
2017 01 26 11 59 00 5780292.374044 -2360178.431722 1780.443410 0.010000 0.010000 0.010000 0.000000 5780292.373662 -2360178.432016 1780.443410
2017 01 27 11 59 00 5780292.367855 -2360178.424725 1780.447660 0.010000 0.010000 0.010000 0.000000 5780292.367458 -2360178.425030 1780.447660
2017 01 28 11 59 00 5780292.357886 -2360178.429048 1780.469450 0.010000 0.010000 0.010000 0.000000 5780292.357474 -2360178.429365 1780.469450
2017 01 29 11 59 00 5780292.375357 -2360178.429121 1780.459450 0.010000 0.010000 0.010000 0.000000 5780292.374930 -2360178.429450 1780.459450
2017 01 30 11 59 00 5780292.365518 -2360178.427034 1780.453100 0.010000 0.010000 0.010000 0.000000 5780292.365075 -2360178.427374 1780.453100
2017 01 31 11 59 00 5780292.364339 -2360178.431607 1780.463010 0.010000 0.010000 0.010000 0.000000 5780292.363881 -2360178.431959 1780.463010
2017 02 04 11 59 00 5780292.378453 -2360178.441828 1780.452150 0.010000 0.010000 0.010000 0.000000 5780292.377934 -2360178.442227 1780.452150
2017 02 05 11 59 00 5780292.360034 -2360178.429851 1780.434280 0.010000 0.010000 0.010000 0.000000 5780292.359500 -2360178.430262 1780.434280
2017 02 06 11 59 00 5780292.371835 -2360178.440274 1780.439120 0.010000 0.010000 0.010000 0.000000 5780292.371286 -2360178.440696 1780.439120
2017 02 07 11 59 00 5780292.374255 -2360178.442877 1780.456240 0.010000 0.010000 0.010960 0.000000 5780292.373691 -2360178.443311 1780.456240
2017 02 08 11 59 00 5780292.366946 -2360178.437040 1780.463420 0.010000 0.010000 0.012890 0.000000 5780292.366367 -2360178.437486 1780.463420
2017 02 09 11 59 00 5780292.369637 -2360178.438002 1780.447830 0.010000 0.010000 0.010000 0.000000 5780292.369043 -2360178.438460 1780.447830
2017 02 10 11 59 00 5780292.377308 -2360178.442525 1780.456690 0.010000 0.010000 0.010000 0.000000 5780292.376699 -2360178.442995 1780.456690
2017 02 11 11 59 00 5780292.378159 -2360178.434778 1780.448990 0.010000 0.010000 0.010000 0.000000 5780292.377534 -2360178.435259 1780.448990
2017 02 12 11 59 00 5780292.362050 -2360178.442991 1780.458670 0.010000 0.010000 0.010000 0.000000 5780292.361410 -2360178.443484 1780.458670
2017 02 13 11 59 00 5780292.366111 -2360178.436504 1780.465760 0.010000 0.010000 0.010000 0.000000 5780292.365456 -2360178.437009 1780.465760
2017 02 14 11 59 00 5780292.373832 -2360178.441887 1780.462650 0.010000 0.010000 0.010000 0.000000 5780292.373162 -2360178.442403 1780.462650
