################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfGB1G: "Grand Br�l� 1" - Local} (All data)} {RDCGB10}
# FILENAME: RDCGB10_all.txt
# COORD: 375313	7645465
#
# CREATED: 12-Oct-2022 18:33:24 by sysop@pitondescalumets
# COPYRIGHT: MMXXII, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS Eastern(m) Northern(m) Up(m) dE dN dU Orbit East_treat(m) North_treat(m) Up_treat(m)
2017 01 01 11 59 00 5787567.316359 -2369807.713991 130.961590 0.010000 0.010000 0.010850 0.000000 5787567.316359 -2369807.713991 130.961590
2017 01 02 11 59 00 5787567.313910 -2369807.723724 130.938780 0.010000 0.010000 0.010000 0.000000 5787567.313895 -2369807.723736 130.938780
2017 01 03 11 59 00 5787567.308481 -2369807.710167 130.927980 0.010000 0.010000 0.010000 0.000000 5787567.308450 -2369807.710190 130.927980
2017 01 04 11 59 00 5787567.301982 -2369807.718850 130.923460 0.010000 0.010000 0.010000 0.000000 5787567.301936 -2369807.718885 130.923460
2017 01 05 11 59 00 5787567.314013 -2369807.719392 130.951790 0.010000 0.010000 0.010840 0.000000 5787567.313952 -2369807.719439 130.951790
2017 01 06 11 59 00 5787567.303384 -2369807.713005 130.932900 0.010000 0.010000 0.010000 0.000000 5787567.303308 -2369807.713064 130.932900
2017 01 07 11 59 00 5787567.312935 -2369807.711428 130.925330 0.010000 0.010000 0.010000 0.000000 5787567.312843 -2369807.711499 130.925330
2017 01 08 11 59 00 5787567.305006 -2369807.708231 130.927010 0.010000 0.010000 0.010000 0.000000 5787567.304899 -2369807.708313 130.927010
2017 01 09 11 59 00 5787567.312497 -2369807.721114 130.958790 0.010000 0.010000 0.010000 0.000000 5787567.312375 -2369807.721208 130.958790
2017 01 10 11 59 00 5787567.307898 -2369807.711447 130.959820 0.010000 0.010000 0.010000 0.000000 5787567.307760 -2369807.711552 130.959820
