################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfGBNG: "Grand Br�l� Nord" - Local} (All data)} {RDCGBN0}
# FILENAME: RDCGBN0_all.txt
# COORD: 375647	7652743	
#
# CREATED: 12-Oct-2022 18:33:30 by sysop@pitondescalumets
# COPYRIGHT: MMXXII, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS Eastern(m) Northern(m) Up(m) dE dN dU Orbit East_treat(m) North_treat(m) Up_treat(m)
2017 01 01 11 59 00 5790545.878899 -2362491.218881 136.472730 0.010000 0.010000 0.010000 0.000000 5790545.878899 -2362491.218881 136.472730
2017 01 02 11 59 00 5790545.879500 -2362491.234904 136.453080 0.010000 0.010000 0.010000 0.000000 5790545.879485 -2362491.234916 136.453080
2017 01 03 11 59 00 5790545.876981 -2362491.220267 136.458880 0.010000 0.010000 0.010000 0.000000 5790545.876950 -2362491.220290 136.458880
2017 01 04 11 59 00 5790545.870452 -2362491.228740 136.467430 0.010000 0.010000 0.010000 0.000000 5790545.870406 -2362491.228775 136.467430
2017 01 05 11 59 00 5790545.890923 -2362491.235512 136.469140 0.010000 0.010000 0.011440 0.000000 5790545.890862 -2362491.235559 136.469140
2017 01 06 11 59 00 5790545.870574 -2362491.224045 136.451510 0.010000 0.010000 0.010000 0.000000 5790545.870498 -2362491.224104 136.451510
2017 01 07 11 59 00 5790545.881485 -2362491.226358 136.444640 0.010000 0.010000 0.010000 0.000000 5790545.881393 -2362491.226429 136.444640
2017 01 08 11 59 00 5790545.876836 -2362491.221771 136.461610 0.010000 0.010000 0.010000 0.000000 5790545.876729 -2362491.221853 136.461610
2017 01 09 11 59 00 5790545.879857 -2362491.236174 136.469540 0.010000 0.010000 0.010000 0.000000 5790545.879735 -2362491.236268 136.469540
2017 01 10 11 59 00 5790545.877518 -2362491.223807 136.478810 0.010000 0.010000 0.010000 0.000000 5790545.877380 -2362491.223912 136.478810
2017 01 11 11 59 00 5790545.878519 -2362491.226840 136.463410 0.010000 0.010000 0.010000 0.000000 5790545.878366 -2362491.226957 136.463410
2017 01 12 11 59 00 5790545.881480 -2362491.227782 136.445050 0.010000 0.010000 0.010000 0.000000 5790545.881312 -2362491.227912 136.445050
2017 01 13 11 59 00 5790545.857741 -2362491.221645 136.503250 0.010000 0.010000 0.010000 0.000000 5790545.857558 -2362491.221786 136.503250
2017 01 14 11 59 00 5790545.876752 -2362491.221008 136.458690 0.010000 0.010000 0.010000 0.000000 5790545.876553 -2362491.221161 136.458690
2017 01 15 11 59 00 5790545.892483 -2362491.232251 136.497690 0.010000 0.010000 0.012100 0.000000 5790545.892269 -2362491.232415 136.497690
2017 01 16 11 59 00 5790545.881514 -2362491.228294 136.468430 0.010000 0.010000 0.010820 0.000000 5790545.881285 -2362491.228470 136.468430
2017 01 17 11 59 00 5790545.868055 -2362491.227607 136.471290 0.010000 0.010000 0.010860 0.000000 5790545.867811 -2362491.227795 136.471290
2017 01 22 11 59 00 5790545.875060 -2362491.231971 136.470780 0.010000 0.010000 0.010070 0.000000 5790545.874739 -2362491.232218 136.470780
2017 01 23 11 59 00 5790545.873501 -2362491.226774 136.459650 0.010000 0.010000 0.010000 0.000000 5790545.873165 -2362491.227032 136.459650
