################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfGBSG: "Grand Br�l� Sud" - Local} (All data)} {RDCGBS0}
# FILENAME: RDCGBS0_all.txt
# COORD: 373367	7647052
#
# CREATED: 12-Oct-2022 18:33:42 by sysop@pitondescalumets
# COPYRIGHT: MMXXII, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS Eastern(m) Northern(m) Up(m) dE dN dU Orbit East_treat(m) North_treat(m) Up_treat(m)
2017 01 01 11 59 00 5786196.718089 -2368196.816641 470.763200 0.010000 0.010000 0.010000 0.000000 5786196.718089 -2368196.816641 470.763200
2017 01 02 11 59 00 5786196.718430 -2368196.828914 470.760450 0.010000 0.010000 0.010000 0.000000 5786196.718415 -2368196.828926 470.760450
2017 01 03 11 59 00 5786196.714161 -2368196.816187 470.749780 0.010000 0.010000 0.010000 0.000000 5786196.714130 -2368196.816210 470.749780
2017 01 04 11 59 00 5786196.705812 -2368196.825880 470.753010 0.010000 0.010000 0.010000 0.000000 5786196.705766 -2368196.825915 470.753010
2017 01 05 11 59 00 5786196.722553 -2368196.828882 470.771320 0.010000 0.010000 0.010720 0.000000 5786196.722492 -2368196.828929 470.771320
2017 01 06 11 59 00 5786196.704344 -2368196.816765 470.755960 0.010000 0.010000 0.010000 0.000000 5786196.704268 -2368196.816824 470.755960
2017 01 07 11 59 00 5786196.716295 -2368196.818848 470.736910 0.010000 0.010000 0.010000 0.000000 5786196.716203 -2368196.818919 470.736910
2017 01 08 11 59 00 5786196.711636 -2368196.814131 470.763470 0.010000 0.010000 0.010000 0.000000 5786196.711529 -2368196.814213 470.763470
2017 01 09 11 59 00 5786196.717767 -2368196.830074 470.756910 0.010000 0.010000 0.010000 0.000000 5786196.717645 -2368196.830168 470.756910
2017 01 10 11 59 00 5786196.712248 -2368196.823157 470.760850 0.010000 0.010000 0.010000 0.000000 5786196.712110 -2368196.823262 470.760850
2017 01 11 11 59 00 5786196.711109 -2368196.820650 470.752600 0.010000 0.010000 0.010000 0.000000 5786196.710956 -2368196.820767 470.752600
2017 01 12 11 59 00 5786196.713760 -2368196.823012 470.744930 0.010000 0.010000 0.010000 0.000000 5786196.713592 -2368196.823142 470.744930
2017 01 13 11 59 00 5786196.691031 -2368196.817345 470.782760 0.010000 0.010000 0.010000 0.000000 5786196.690848 -2368196.817486 470.782760
2017 01 14 11 59 00 5786196.706322 -2368196.815088 470.756180 0.010000 0.010000 0.010000 0.000000 5786196.706123 -2368196.815241 470.756180
2017 01 15 11 59 00 5786196.724563 -2368196.826311 470.788270 0.010000 0.010000 0.012510 0.000000 5786196.724349 -2368196.826475 470.788270
2017 01 16 11 59 00 5786196.718164 -2368196.821174 470.779740 0.010000 0.010000 0.010730 0.000000 5786196.717935 -2368196.821350 470.779740
2017 01 17 11 59 00 5786196.702225 -2368196.826637 470.762680 0.010000 0.010000 0.010520 0.000000 5786196.701981 -2368196.826825 470.762680
2017 01 22 11 59 00 5786196.709640 -2368196.828681 470.758590 0.010000 0.010000 0.010000 0.000000 5786196.709319 -2368196.828928 470.758590
2017 01 23 11 59 00 5786196.703341 -2368196.821754 470.766350 0.010000 0.010000 0.010000 0.000000 5786196.703005 -2368196.822012 470.766350
2017 01 24 11 59 00 5786196.713302 -2368196.815447 470.759710 0.010000 0.010000 0.010000 0.000000 5786196.712951 -2368196.815717 470.759710
2017 01 25 11 59 00 5786196.709313 -2368196.815560 470.753240 0.010000 0.010000 0.010000 0.000000 5786196.708947 -2368196.815841 470.753240
2017 01 26 11 59 00 5786196.709864 -2368196.822912 470.756700 0.010000 0.010000 0.010880 0.000000 5786196.709482 -2368196.823206 470.756700
2017 01 27 11 59 00 5786196.709175 -2368196.814575 470.752710 0.010000 0.010000 0.010000 0.000000 5786196.708778 -2368196.814880 470.752710
2017 01 28 11 59 00 5786196.699136 -2368196.819998 470.751810 0.010000 0.010000 0.010000 0.000000 5786196.698724 -2368196.820315 470.751810
2017 01 29 11 59 00 5786196.714607 -2368196.819461 470.753980 0.010000 0.010000 0.010000 0.000000 5786196.714180 -2368196.819790 470.753980
2017 01 30 11 59 00 5786196.704338 -2368196.816894 470.756680 0.010000 0.010000 0.010000 0.000000 5786196.703895 -2368196.817234 470.756680
2017 01 31 11 59 00 5786196.701099 -2368196.818437 470.764040 0.010000 0.010000 0.010000 0.000000 5786196.700641 -2368196.818789 470.764040
2017 02 04 11 59 00 5786196.711543 -2368196.823868 470.764580 0.010000 0.010000 0.010000 0.000000 5786196.711024 -2368196.824267 470.764580
2017 02 05 11 59 00 5786196.694004 -2368196.810801 470.743620 0.010000 0.010000 0.010000 0.000000 5786196.693470 -2368196.811212 470.743620
2017 02 06 11 59 00 5786196.714355 -2368196.828464 470.759620 0.010000 0.010000 0.010410 0.000000 5786196.713806 -2368196.828886 470.759620
2017 02 07 11 59 00 5786196.715105 -2368196.826097 470.752540 0.010000 0.010000 0.011240 0.000000 5786196.714541 -2368196.826531 470.752540
