################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfGITG: "G�te" - Local} (All data)} {RDCGIT0}
# FILENAME: RDCGIT0_all.txt
# COORD:363752	7653123
#
# CREATED: 12-Oct-2022 18:33:55 by sysop@pitondescalumets
# COPYRIGHT: MMXXII, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS Eastern(m) Northern(m) Up(m) dE dN dU Orbit East_treat(m) North_treat(m) Up_treat(m)
2017 01 01 11 59 00 5778769.717349 -2362014.251991 2266.581050 0.010000 0.010000 0.010000 0.000000 5778769.717349 -2362014.251991 2266.581050
2017 01 02 11 59 00 5778769.721930 -2362014.261674 2266.581930 0.010000 0.010000 0.010000 0.000000 5778769.721915 -2362014.261686 2266.581930
2017 01 03 11 59 00 5778769.718201 -2362014.246437 2266.583270 0.010000 0.010000 0.010000 0.000000 5778769.718170 -2362014.246460 2266.583270
2017 01 04 11 59 00 5778769.710722 -2362014.259870 2266.572410 0.010000 0.010000 0.010000 0.000000 5778769.710676 -2362014.259905 2266.572410
2017 01 05 11 59 00 5778769.725883 -2362014.263732 2266.581130 0.010000 0.010000 0.010000 0.000000 5778769.725822 -2362014.263779 2266.581130
2017 01 06 11 59 00 5778769.712904 -2362014.252215 2266.584070 0.010000 0.010000 0.010000 0.000000 5778769.712828 -2362014.252274 2266.584070
2017 01 07 11 59 00 5778769.724915 -2362014.253018 2266.560340 0.010000 0.010000 0.010000 0.000000 5778769.724823 -2362014.253089 2266.560340
2017 01 08 11 59 00 5778769.714706 -2362014.248381 2266.577070 0.010000 0.010000 0.010000 0.000000 5778769.714599 -2362014.248463 2266.577070
2017 01 09 11 59 00 5778769.723907 -2362014.262784 2266.578050 0.010000 0.010000 0.010000 0.000000 5778769.723785 -2362014.262878 2266.578050
2017 01 10 11 59 00 5778769.722498 -2362014.255637 2266.582570 0.010000 0.010000 0.010000 0.000000 5778769.722360 -2362014.255742 2266.582570
