################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfGPNG: "Grandes Pentes Nord" - Local} (All data)} {RDCGPN0}
# FILENAME: RDCGPN0_all.txt
# COORD:370543	7650804
#
# CREATED: 12-Oct-2022 18:34:07 by sysop@pitondescalumets
# COPYRIGHT: MMXXII, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS Eastern(m) Northern(m) Up(m) dE dN dU Orbit East_treat(m) North_treat(m) Up_treat(m)
2017 01 01 11 59 00 5784753.727359 -2364401.187511 1414.171560 0.010000 0.010000 0.010000 0.000000 5784753.727359 -2364401.187511 1414.171560
2017 01 02 11 59 00 5784753.725640 -2364401.204644 1414.166980 0.010000 0.010000 0.010000 0.000000 5784753.725625 -2364401.204656 1414.166980
2017 01 03 11 59 00 5784753.724511 -2364401.190367 1414.166300 0.010000 0.010000 0.010000 0.000000 5784753.724480 -2364401.190390 1414.166300
2017 01 04 11 59 00 5784753.712922 -2364401.200100 1414.163410 0.010000 0.010000 0.010000 0.000000 5784753.712876 -2364401.200135 1414.163410
2017 01 05 11 59 00 5784753.730613 -2364401.204812 1414.170390 0.010000 0.010000 0.010000 0.000000 5784753.730552 -2364401.204859 1414.170390
2017 01 06 11 59 00 5784753.717884 -2364401.195365 1414.175070 0.010000 0.010000 0.010000 0.000000 5784753.717808 -2364401.195424 1414.175070
2017 01 07 11 59 00 5784753.728365 -2364401.194628 1414.145730 0.010000 0.010000 0.010000 0.000000 5784753.728273 -2364401.194699 1414.145730
2017 01 08 11 59 00 5784753.715346 -2364401.189651 1414.155990 0.010000 0.010000 0.010000 0.000000 5784753.715239 -2364401.189733 1414.155990
2017 01 09 11 59 00 5784753.727807 -2364401.206104 1414.166980 0.010000 0.010000 0.010000 0.000000 5784753.727685 -2364401.206198 1414.166980
2017 01 10 11 59 00 5784753.727048 -2364401.194767 1414.163610 0.010000 0.010000 0.010000 0.000000 5784753.726910 -2364401.194872 1414.163610
2017 01 11 11 59 00 5784753.723669 -2364401.197310 1414.162140 0.010000 0.010000 0.010000 0.000000 5784753.723516 -2364401.197427 1414.162140
2017 01 12 11 59 00 5784753.726000 -2364401.200622 1414.165810 0.010000 0.010000 0.010000 0.000000 5784753.725832 -2364401.200752 1414.165810
2017 01 13 11 59 00 5784753.708371 -2364401.194835 1414.195060 0.010000 0.010000 0.010000 0.000000 5784753.708188 -2364401.194976 1414.195060
2017 01 14 11 59 00 5784753.721562 -2364401.191898 1414.167420 0.010000 0.010000 0.010000 0.000000 5784753.721363 -2364401.192051 1414.167420
2017 01 15 11 59 00 5784753.733383 -2364401.201801 1414.184720 0.010000 0.010000 0.010790 0.000000 5784753.733169 -2364401.201965 1414.184720
2017 01 16 11 59 00 5784753.734164 -2364401.201144 1414.189740 0.010000 0.010000 0.010000 0.000000 5784753.733935 -2364401.201320 1414.189740
2017 01 17 11 59 00 5784753.713055 -2364401.199507 1414.161250 0.010000 0.010000 0.010000 0.000000 5784753.712811 -2364401.199695 1414.161250
2017 01 22 11 59 00 5784753.723290 -2364401.206201 1414.164690 0.010000 0.010000 0.010000 0.000000 5784753.722969 -2364401.206448 1414.164690
2017 01 23 11 59 00 5784753.718191 -2364401.199604 1414.165130 0.010000 0.010000 0.010000 0.000000 5784753.717855 -2364401.199862 1414.165130
2017 01 24 11 59 00 5784753.725372 -2364401.189117 1414.169200 0.010000 0.010000 0.010000 0.000000 5784753.725021 -2364401.189387 1414.169200
2017 01 25 11 59 00 5784753.721463 -2364401.190490 1414.158940 0.010000 0.010000 0.010000 0.000000 5784753.721097 -2364401.190771 1414.158940
2017 01 26 11 59 00 5784753.720704 -2364401.195362 1414.159350 0.010000 0.010000 0.010000 0.000000 5784753.720322 -2364401.195656 1414.159350
2017 01 27 11 59 00 5784753.721705 -2364401.186475 1414.147000 0.010000 0.010000 0.010000 0.000000 5784753.721308 -2364401.186780 1414.147000
2017 01 28 11 59 00 5784753.704956 -2364401.192118 1414.174500 0.010000 0.010000 0.010000 0.000000 5784753.704544 -2364401.192435 1414.174500
2017 01 29 11 59 00 5784753.723647 -2364401.194071 1414.171850 0.010000 0.010000 0.010000 0.000000 5784753.723220 -2364401.194400 1414.171850
2017 01 30 11 59 00 5784753.713748 -2364401.191894 1414.160270 0.010000 0.010000 0.010000 0.000000 5784753.713305 -2364401.192234 1414.160270
2017 01 31 11 59 00 5784753.717099 -2364401.190937 1414.169330 0.010000 0.010000 0.010000 0.000000 5784753.716641 -2364401.191289 1414.169330
2017 02 04 11 59 00 5784753.743093 -2364401.196738 1414.163810 0.010000 0.010000 0.010000 0.000000 5784753.742574 -2364401.197137 1414.163810
2017 02 05 11 59 00 5784753.726524 -2364401.183841 1414.154610 0.010000 0.010000 0.010000 0.000000 5784753.725990 -2364401.184252 1414.154610
2017 02 06 11 59 00 5784753.745605 -2364401.200734 1414.166050 0.010000 0.010000 0.010000 0.000000 5784753.745056 -2364401.201156 1414.166050
2017 02 07 11 59 00 5784753.745785 -2364401.192707 1414.170420 0.010000 0.010000 0.010370 0.000000 5784753.745221 -2364401.193141 1414.170420
2017 02 08 11 59 00 5784753.728776 -2364401.180940 1414.140290 0.010000 0.010000 0.013620 0.000000 5784753.728197 -2364401.181386 1414.140290
2017 02 09 11 59 00 5784753.728827 -2364401.194472 1414.153600 0.010000 0.010000 0.010000 0.000000 5784753.728233 -2364401.194930 1414.153600
2017 02 10 11 59 00 5784753.740388 -2364401.198785 1414.159290 0.010000 0.010000 0.010000 0.000000 5784753.739779 -2364401.199255 1414.159290
2017 02 11 11 59 00 5784753.740279 -2364401.191128 1414.161200 0.010000 0.010000 0.010000 0.000000 5784753.739654 -2364401.191609 1414.161200
2017 02 12 11 59 00 5784753.725950 -2364401.200781 1414.156850 0.010000 0.010000 0.010000 0.000000 5784753.725310 -2364401.201274 1414.156850
2017 02 13 11 59 00 5784753.730721 -2364401.197034 1414.161970 0.010000 0.010000 0.010000 0.000000 5784753.730066 -2364401.197539 1414.161970
2017 02 14 11 59 00 5784753.738922 -2364401.200077 1414.159700 0.010000 0.010000 0.010000 0.000000 5784753.738252 -2364401.200593 1414.159700
2017 02 15 11 59 00 5784753.731923 -2364401.193809 1414.152660 0.010000 0.010000 0.010000 0.000000 5784753.731237 -2364401.194338 1414.152660
2017 02 16 11 59 00 5784753.741884 -2364401.203222 1414.154500 0.010000 0.010000 0.010000 0.000000 5784753.741183 -2364401.203762 1414.154500
2017 02 17 11 59 00 5784753.740025 -2364401.187845 1414.161060 0.010000 0.010000 0.010000 0.000000 5784753.739309 -2364401.188397 1414.161060
