################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfGPSG: "Grandes Pentes Sud" - Local} (All data)} {RDCGPS0}
# FILENAME: RDCGPS0_all.txt
# COORD: 371519	7647749
#
# CREATED: 12-Oct-2022 18:34:16 by sysop@pitondescalumets
# COPYRIGHT: MMXXII, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS Eastern(m) Northern(m) Up(m) dE dN dU Orbit East_treat(m) North_treat(m) Up_treat(m)
2017 01 01 11 59 00 5784580.014959 -2367481.148921 1004.493990 0.010000 0.010000 0.010000 0.000000 5784580.014959 -2367481.148921 1004.493990
2017 01 02 11 59 00 5784580.009670 -2367481.165014 1004.494740 0.010000 0.010000 0.010000 0.000000 5784580.009655 -2367481.165026 1004.494740
2017 01 03 11 59 00 5784580.005601 -2367481.147467 1004.485620 0.010000 0.010000 0.010000 0.000000 5784580.005570 -2367481.147490 1004.485620
2017 01 04 11 59 00 5784579.997432 -2367481.155690 1004.486040 0.010000 0.010000 0.010000 0.000000 5784579.997386 -2367481.155725 1004.486040
2017 01 05 11 59 00 5784580.012433 -2367481.160632 1004.491630 0.010000 0.010000 0.010000 0.000000 5784580.012372 -2367481.160679 1004.491630
2017 01 06 11 59 00 5784579.998754 -2367481.151965 1004.492780 0.010000 0.010000 0.010000 0.000000 5784579.998678 -2367481.152024 1004.492780
2017 01 07 11 59 00 5784580.013175 -2367481.153208 1004.472820 0.010000 0.010000 0.010000 0.000000 5784580.013083 -2367481.153279 1004.472820
2017 01 08 11 59 00 5784580.002226 -2367481.148511 1004.481250 0.010000 0.010000 0.010000 0.000000 5784580.002119 -2367481.148593 1004.481250
2017 01 09 11 59 00 5784580.013277 -2367481.162614 1004.495530 0.010000 0.010000 0.010000 0.000000 5784580.013155 -2367481.162708 1004.495530
2017 01 10 11 59 00 5784580.008348 -2367481.160167 1004.498180 0.010000 0.010000 0.010000 0.000000 5784580.008210 -2367481.160272 1004.498180
2017 01 11 11 59 00 5784580.007329 -2367481.155970 1004.488500 0.010000 0.010000 0.010000 0.000000 5784580.007176 -2367481.156087 1004.488500
2017 01 12 11 59 00 5784580.010220 -2367481.158332 1004.488160 0.010000 0.010000 0.010000 0.000000 5784580.010052 -2367481.158462 1004.488160
2017 01 13 11 59 00 5784579.989371 -2367481.153225 1004.520750 0.010000 0.010000 0.010000 0.000000 5784579.989188 -2367481.153366 1004.520750
2017 01 14 11 59 00 5784580.002252 -2367481.149768 1004.485960 0.010000 0.010000 0.010000 0.000000 5784580.002053 -2367481.149921 1004.485960
2017 01 15 11 59 00 5784580.018713 -2367481.159811 1004.506650 0.010000 0.010000 0.012040 0.000000 5784580.018499 -2367481.159975 1004.506650
2017 01 16 11 59 00 5784580.015454 -2367481.154244 1004.509780 0.010000 0.010000 0.010000 0.000000 5784580.015225 -2367481.154420 1004.509780
2017 01 17 11 59 00 5784579.994215 -2367481.156667 1004.484960 0.010000 0.010000 0.010000 0.000000 5784579.993971 -2367481.156855 1004.484960
2017 01 22 11 59 00 5784580.003890 -2367481.162941 1004.481890 0.010000 0.010000 0.010000 0.000000 5784580.003569 -2367481.163188 1004.481890
2017 01 23 11 59 00 5784579.998311 -2367481.159154 1004.487810 0.010000 0.010000 0.010000 0.000000 5784579.997975 -2367481.159412 1004.487810
2017 01 24 11 59 00 5784580.007742 -2367481.148697 1004.492920 0.010000 0.010000 0.010000 0.000000 5784580.007391 -2367481.148967 1004.492920
2017 01 25 11 59 00 5784580.004363 -2367481.149840 1004.477250 0.010000 0.010000 0.010000 0.000000 5784580.003997 -2367481.150121 1004.477250
2017 01 26 11 59 00 5784580.004134 -2367481.157212 1004.491670 0.010000 0.010000 0.010320 0.000000 5784580.003752 -2367481.157506 1004.491670
2017 01 27 11 59 00 5784580.005975 -2367481.149775 1004.473900 0.010000 0.010000 0.010000 0.000000 5784580.005578 -2367481.150080 1004.473900
2017 01 28 11 59 00 5784579.987976 -2367481.151548 1004.489420 0.010000 0.010000 0.010000 0.000000 5784579.987564 -2367481.151865 1004.489420
2017 01 29 11 59 00 5784580.005477 -2367481.151281 1004.497140 0.010000 0.010000 0.010000 0.000000 5784580.005050 -2367481.151610 1004.497140
2017 01 30 11 59 00 5784579.994758 -2367481.150014 1004.486930 0.010000 0.010000 0.010000 0.000000 5784579.994315 -2367481.150354 1004.486930
2017 01 31 11 59 00 5784579.994529 -2367481.150587 1004.501490 0.010000 0.010000 0.010000 0.000000 5784579.994071 -2367481.150939 1004.501490
2017 02 04 11 59 00 5784580.009503 -2367481.158818 1004.493070 0.010000 0.010000 0.010000 0.000000 5784580.008984 -2367481.159217 1004.493070
2017 02 05 11 59 00 5784579.992064 -2367481.146641 1004.477310 0.010000 0.010000 0.010070 0.000000 5784579.991530 -2367481.147052 1004.477310
2017 02 06 11 59 00 5784580.010135 -2367481.163854 1004.491250 0.010000 0.010000 0.010000 0.000000 5784580.009586 -2367481.164276 1004.491250
2017 02 07 11 59 00 5784580.009985 -2367481.158547 1004.499900 0.010000 0.010000 0.011920 0.000000 5784580.009421 -2367481.158981 1004.499900
2017 02 08 11 59 00 5784579.981566 -2367481.155970 1004.435100 0.010000 0.010000 0.014850 0.000000 5784579.980987 -2367481.156416 1004.435100
2017 02 09 11 59 00 5784579.999297 -2367481.151662 1004.482360 0.010000 0.010000 0.010000 0.000000 5784579.998703 -2367481.152120 1004.482360
