################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfHDLG: "Hubert de Lisle" - Local} (All data)} {RDCHDL0}
# FILENAME: RDCHDL0_all.txt
# COORD: 374509	7649623
#
# CREATED: 12-Oct-2022 18:34:26 by sysop@pitondescalumets
# COPYRIGHT: MMXXII, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS Eastern(m) Northern(m) Up(m) dE dN dU Orbit East_treat(m) North_treat(m) Up_treat(m)
2017 01 01 11 59 00 5788259.115119 -2365620.153801 210.699240 0.010000 0.010000 0.011080 0.000000 5788259.115119 -2365620.153801 210.699240
2017 01 02 11 59 00 5788259.115970 -2365620.169304 210.700780 0.010000 0.010000 0.010000 0.000000 5788259.115955 -2365620.169316 210.700780
2017 01 03 11 59 00 5788259.110681 -2365620.155497 210.687560 0.010000 0.010000 0.010000 0.000000 5788259.110650 -2365620.155520 210.687560
2017 01 04 11 59 00 5788259.104552 -2365620.162950 210.702730 0.010000 0.010000 0.010070 0.000000 5788259.104506 -2365620.162985 210.702730
2017 01 05 11 59 00 5788259.123653 -2365620.168562 210.701330 0.010000 0.010000 0.011760 0.000000 5788259.123592 -2365620.168609 210.701330
2017 01 06 11 59 00 5788259.103664 -2365620.157375 210.691320 0.010000 0.010000 0.010000 0.000000 5788259.103588 -2365620.157434 210.691320
2017 01 07 11 59 00 5788259.117545 -2365620.160318 210.678810 0.010000 0.010000 0.010000 0.000000 5788259.117453 -2365620.160389 210.678810
2017 01 08 11 59 00 5788259.110356 -2365620.154121 210.696010 0.010000 0.010000 0.010000 0.000000 5788259.110249 -2365620.154203 210.696010
2017 01 09 11 59 00 5788259.116467 -2365620.170984 210.690640 0.010000 0.010000 0.010000 0.000000 5788259.116345 -2365620.171078 210.690640
2017 01 10 11 59 00 5788259.113318 -2365620.160977 210.689110 0.010000 0.010000 0.010000 0.000000 5788259.113180 -2365620.161082 210.689110
2017 01 11 11 59 00 5788259.113869 -2365620.160240 210.688180 0.010000 0.010000 0.010000 0.000000 5788259.113716 -2365620.160357 210.688180
2017 01 12 11 59 00 5788259.114320 -2365620.162632 210.690050 0.010000 0.010000 0.010000 0.000000 5788259.114152 -2365620.162762 210.690050
2017 01 13 11 59 00 5788259.090921 -2365620.157185 210.723420 0.010000 0.010000 0.010880 0.000000 5788259.090738 -2365620.157326 210.723420
2017 01 14 11 59 00 5788259.108112 -2365620.153858 210.688520 0.010000 0.010000 0.010390 0.000000 5788259.107913 -2365620.154011 210.688520
2017 01 15 11 59 00 5788259.128423 -2365620.167461 210.730440 0.010000 0.010000 0.013250 0.000000 5788259.128209 -2365620.167625 210.730440
2017 01 16 11 59 00 5788259.115804 -2365620.163084 210.707900 0.010000 0.010000 0.011930 0.000000 5788259.115575 -2365620.163260 210.707900
2017 01 17 11 59 00 5788259.105445 -2365620.166497 210.698840 0.010000 0.010000 0.012400 0.000000 5788259.105201 -2365620.166685 210.698840
2017 01 22 11 59 00 5788259.111870 -2365620.168311 210.702680 0.010000 0.010000 0.010310 0.000000 5788259.111549 -2365620.168558 210.702680
2017 01 23 11 59 00 5788259.106161 -2365620.160824 210.696160 0.010000 0.010000 0.010000 0.000000 5788259.105825 -2365620.161082 210.696160
2017 01 24 11 59 00 5788259.114242 -2365620.155987 210.696140 0.010000 0.010000 0.010000 0.000000 5788259.113891 -2365620.156257 210.696140
2017 01 25 11 59 00 5788259.109243 -2365620.155570 210.693280 0.010000 0.010000 0.010000 0.000000 5788259.108877 -2365620.155851 210.693280
2017 01 26 11 59 00 5788259.109694 -2365620.164952 210.695090 0.010000 0.010000 0.011440 0.000000 5788259.109312 -2365620.165246 210.695090
2017 01 27 11 59 00 5788259.106595 -2365620.155085 210.677500 0.010000 0.010000 0.010550 0.000000 5788259.106198 -2365620.155390 210.677500
2017 01 28 11 59 00 5788259.096196 -2365620.160288 210.690920 0.010000 0.010000 0.010000 0.000000 5788259.095784 -2365620.160605 210.690920
2017 01 29 11 59 00 5788259.113787 -2365620.160841 210.702600 0.010000 0.010000 0.010000 0.000000 5788259.113360 -2365620.161170 210.702600
2017 01 30 11 59 00 5788259.102208 -2365620.157154 210.696570 0.010000 0.010000 0.010000 0.000000 5788259.101765 -2365620.157494 210.696570
2017 01 31 11 59 00 5788259.100219 -2365620.155657 210.693000 0.010000 0.010000 0.010000 0.000000 5788259.099761 -2365620.156009 210.693000
2017 02 04 11 59 00 5788259.112003 -2365620.163518 210.703170 0.010000 0.010000 0.010000 0.000000 5788259.111484 -2365620.163917 210.703170
2017 02 05 11 59 00 5788259.097954 -2365620.149811 210.696410 0.010000 0.010000 0.011980 0.000000 5788259.097420 -2365620.150222 210.696410
2017 02 06 11 59 00 5788259.118155 -2365620.170164 210.703290 0.010000 0.010000 0.012140 0.000000 5788259.117606 -2365620.170586 210.703290
2017 02 07 11 59 00 5788259.120085 -2365620.161307 210.701850 0.010000 0.010000 0.013050 0.000000 5788259.119521 -2365620.161741 210.701850
2017 02 08 11 59 00 5788259.090046 -2365620.153280 210.628140 0.010000 0.010000 0.014820 0.000000 5788259.089467 -2365620.153726 210.628140
2017 02 09 11 59 00 5788259.104827 -2365620.158832 210.673420 0.010000 0.010000 0.011960 0.000000 5788259.104233 -2365620.159290 210.673420
