################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfMAIG: "Ma�do (La R�union)" - Local} (All data)} {RDCMAIG}
# FILENAME: RDCMAIG_all.txt
#
#
# CREATED: 12-Oct-2022 18:34:38 by sysop@pitondescalumets
# COPYRIGHT: MMXXII, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS Eastern(m) Northern(m) Up(m) dE dN dU Orbit East_treat(m) North_treat(m) Up_treat(m)
2017 01 01 11 59 00 5752658.133329 -2346584.319241 2165.325420 0.010000 0.010000 0.010000 0.000000 5752658.133329 -2346584.319241 2165.325420
2017 01 02 11 59 00 5752658.135270 -2346584.331254 2165.333150 0.010000 0.010000 0.010000 0.000000 5752658.135255 -2346584.331266 2165.333150
2017 01 03 11 59 00 5752658.129301 -2346584.317027 2165.331110 0.010000 0.010000 0.010000 0.000000 5752658.129270 -2346584.317050 2165.331110
2017 01 04 11 59 00 5752658.121512 -2346584.325760 2165.322700 0.010000 0.010000 0.010000 0.000000 5752658.121466 -2346584.325795 2165.322700
2017 01 05 11 59 00 5752658.133583 -2346584.331852 2165.331330 0.010000 0.010000 0.010000 0.000000 5752658.133522 -2346584.331899 2165.331330
2017 01 06 11 59 00 5752658.122484 -2346584.322045 2165.330200 0.010000 0.010000 0.010000 0.000000 5752658.122408 -2346584.322104 2165.330200
2017 01 07 11 59 00 5752658.135395 -2346584.322788 2165.305530 0.010000 0.010000 0.010000 0.000000 5752658.135303 -2346584.322859 2165.305530
2017 01 08 11 59 00 5752658.126296 -2346584.316771 2165.320130 0.010000 0.010000 0.010000 0.000000 5752658.126189 -2346584.316853 2165.320130
2017 01 09 11 59 00 5752658.135897 -2346584.332364 2165.326410 0.010000 0.010000 0.010000 0.000000 5752658.135775 -2346584.332458 2165.326410
2017 01 10 11 59 00 5752658.130118 -2346584.323187 2165.329210 0.010000 0.010000 0.010000 0.000000 5752658.129980 -2346584.323292 2165.329210
2017 01 11 11 59 00 5752658.132969 -2346584.323560 2165.318580 0.010000 0.010000 0.010000 0.000000 5752658.132816 -2346584.323677 2165.318580
2017 01 16 11 59 00 5752658.140714 -2346584.323664 2165.337070 0.010000 0.010000 0.010000 0.000000 5752658.140485 -2346584.323840 2165.337070
2017 01 17 11 59 00 5752658.120995 -2346584.323357 2165.328470 0.010000 0.010000 0.010000 0.000000 5752658.120751 -2346584.323545 2165.328470
2017 01 22 11 59 00 5752658.131300 -2346584.329121 2165.324650 0.010000 0.010000 0.010000 0.000000 5752658.130979 -2346584.329368 2165.324650
2017 01 23 11 59 00 5752658.126001 -2346584.324684 2165.326750 0.010000 0.010000 0.010000 0.000000 5752658.125665 -2346584.324942 2165.326750
2017 01 24 11 59 00 5752658.133132 -2346584.314967 2165.333240 0.010000 0.010000 0.010000 0.000000 5752658.132781 -2346584.315237 2165.333240
2017 01 25 11 59 00 5752658.127433 -2346584.316600 2165.337210 0.010000 0.010000 0.010000 0.000000 5752658.127067 -2346584.316881 2165.337210
