################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfPBRG: "Piton des Basaltes" - Local} (All data)} {RDCPBRG}
# FILENAME: RDCPBRG_all.txt
# COORD: 360356	7653197
#
# CREATED: 12-Oct-2022 18:34:49 by sysop@pitondescalumets
# COPYRIGHT: MMXXII, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS Eastern(m) Northern(m) Up(m) dE dN dU Orbit East_treat(m) North_treat(m) Up_treat(m)
2017 01 01 11 59 00 5775486.993339 -2361908.168801 2432.500730 0.010000 0.010000 0.010000 0.000000 5775486.993339 -2361908.168801 2432.500730
2017 01 02 11 59 00 5775486.998090 -2361908.178274 2432.504750 0.010000 0.010000 0.010000 0.000000 5775486.998075 -2361908.178286 2432.504750
2017 01 03 11 59 00 5775486.997361 -2361908.166057 2432.498090 0.010000 0.010000 0.010000 0.000000 5775486.997330 -2361908.166080 2432.498090
2017 01 04 11 59 00 5775486.986292 -2361908.176640 2432.490490 0.010000 0.010000 0.010000 0.000000 5775486.986246 -2361908.176675 2432.490490
2017 01 05 11 59 00 5775487.001853 -2361908.180792 2432.503160 0.010000 0.010000 0.010000 0.000000 5775487.001792 -2361908.180839 2432.503160
2017 01 06 11 59 00 5775486.989524 -2361908.171685 2432.502060 0.010000 0.010000 0.010000 0.000000 5775486.989448 -2361908.171744 2432.502060
2017 01 07 11 59 00 5775487.002415 -2361908.171418 2432.474590 0.010000 0.010000 0.010000 0.000000 5775487.002323 -2361908.171489 2432.474590
2017 01 08 11 59 00 5775486.993346 -2361908.164841 2432.497720 0.010000 0.010000 0.010000 0.000000 5775486.993239 -2361908.164923 2432.497720
2017 01 09 11 59 00 5775487.000567 -2361908.181934 2432.500270 0.010000 0.010000 0.010000 0.000000 5775487.000445 -2361908.182028 2432.500270
2017 01 10 11 59 00 5775486.997248 -2361908.171477 2432.507030 0.010000 0.010000 0.010000 0.000000 5775486.997110 -2361908.171582 2432.507030
2017 01 11 11 59 00 5775486.997599 -2361908.173790 2432.495760 0.010000 0.010000 0.010000 0.000000 5775486.997446 -2361908.173907 2432.495760
2017 01 12 11 59 00 5775487.001190 -2361908.175342 2432.488670 0.010000 0.010000 0.010000 0.000000 5775487.001022 -2361908.175472 2432.488670
2017 01 13 11 59 00 5775486.979311 -2361908.172595 2432.521590 0.010000 0.010000 0.010000 0.000000 5775486.979128 -2361908.172736 2432.521590
2017 01 14 11 59 00 5775486.994992 -2361908.166818 2432.498490 0.010000 0.010000 0.010000 0.000000 5775486.994793 -2361908.166971 2432.498490
2017 01 15 11 59 00 5775487.003713 -2361908.170871 2432.508090 0.010000 0.010000 0.010000 0.000000 5775487.003499 -2361908.171035 2432.508090
2017 01 16 11 59 00 5775487.002954 -2361908.172514 2432.507550 0.010000 0.010000 0.010000 0.000000 5775487.002725 -2361908.172690 2432.507550
2017 01 17 11 59 00 5775486.984115 -2361908.173627 2432.497380 0.010000 0.010000 0.010000 0.000000 5775486.983871 -2361908.173815 2432.497380
2017 01 22 11 59 00 5775486.996210 -2361908.178181 2432.499080 0.010000 0.010000 0.010000 0.000000 5775486.995889 -2361908.178428 2432.499080
2017 01 23 11 59 00 5775486.991781 -2361908.174684 2432.500210 0.010000 0.010000 0.010000 0.000000 5775486.991445 -2361908.174942 2432.500210
2017 01 24 11 59 00 5775486.997472 -2361908.163747 2432.504640 0.010000 0.010000 0.010000 0.000000 5775486.997121 -2361908.164017 2432.504640
2017 01 25 11 59 00 5775486.992963 -2361908.166800 2432.498740 0.010000 0.010000 0.010000 0.000000 5775486.992597 -2361908.167081 2432.498740
2017 01 26 11 59 00 5775486.991564 -2361908.171052 2432.493900 0.010000 0.010000 0.010000 0.000000 5775486.991182 -2361908.171346 2432.493900
2017 01 27 11 59 00 5775486.986965 -2361908.166625 2432.488840 0.010000 0.010000 0.010000 0.000000 5775486.986568 -2361908.166930 2432.488840
2017 01 28 11 59 00 5775486.979056 -2361908.169978 2432.520800 0.010000 0.010000 0.010000 0.000000 5775486.978644 -2361908.170295 2432.520800
2017 01 29 11 59 00 5775486.996817 -2361908.168461 2432.510170 0.010000 0.010000 0.010000 0.000000 5775486.996390 -2361908.168790 2432.510170
2017 01 30 11 59 00 5775486.985518 -2361908.167644 2432.503100 0.010000 0.010000 0.010000 0.000000 5775486.985075 -2361908.167984 2432.503100
2017 01 31 11 59 00 5775486.984079 -2361908.170637 2432.511160 0.010000 0.010000 0.010000 0.000000 5775486.983621 -2361908.170989 2432.511160
2017 02 04 11 59 00 5775486.996273 -2361908.174328 2432.501550 0.010000 0.010000 0.010000 0.000000 5775486.995754 -2361908.174727 2432.501550
2017 02 05 11 59 00 5775486.978944 -2361908.163701 2432.486400 0.010000 0.010000 0.010000 0.000000 5775486.978410 -2361908.164112 2432.486400
2017 02 06 11 59 00 5775486.995875 -2361908.178804 2432.490100 0.010000 0.010000 0.010000 0.000000 5775486.995326 -2361908.179226 2432.490100
2017 02 07 11 59 00 5775486.995685 -2361908.175957 2432.506820 0.010000 0.010000 0.011240 0.000000 5775486.995121 -2361908.176391 2432.506820
2017 02 08 11 59 00 5775486.982516 -2361908.174390 2432.487650 0.010000 0.010000 0.011180 0.000000 5775486.981937 -2361908.174836 2432.487650
2017 02 09 11 59 00 5775486.993317 -2361908.175522 2432.496420 0.010000 0.010000 0.010000 0.000000 5775486.992723 -2361908.175980 2432.496420
2017 02 10 11 59 00 5775486.998468 -2361908.177365 2432.504430 0.010000 0.010000 0.010000 0.000000 5775486.997859 -2361908.177835 2432.504430
2017 02 11 11 59 00 5775486.999939 -2361908.168948 2432.510200 0.010000 0.010000 0.010000 0.000000 5775486.999314 -2361908.169429 2432.510200
