################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfPRAG: "Puys Ramond" - Local} (All data)} {RDCPRAG}
# FILENAME: RDCPRAG_all.txt
# COORD:365971	7645026
#
# CREATED: 12-Oct-2022 18:34:58 by sysop@pitondescalumets
# COPYRIGHT: MMXXII, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS Eastern(m) Northern(m) Up(m) dE dN dU Orbit East_treat(m) North_treat(m) Up_treat(m)
2017 01 01 11 59 00 5778113.505289 -2370174.174691 2084.005940 0.010000 0.010000 0.010000 0.000000 5778113.505289 -2370174.174691 2084.005940
2017 01 02 11 59 00 5778113.512520 -2370174.187204 2084.002540 0.010000 0.010000 0.010000 0.000000 5778113.512505 -2370174.187216 2084.002540
2017 01 03 11 59 00 5778113.506771 -2370174.174807 2083.994430 0.010000 0.010000 0.010000 0.000000 5778113.506740 -2370174.174830 2083.994430
2017 01 04 11 59 00 5778113.498622 -2370174.183870 2083.998130 0.010000 0.010000 0.010000 0.000000 5778113.498576 -2370174.183905 2083.998130
2017 01 05 11 59 00 5778113.513533 -2370174.191802 2084.010550 0.010000 0.010000 0.010000 0.000000 5778113.513472 -2370174.191849 2084.010550
2017 01 06 11 59 00 5778113.501114 -2370174.180865 2083.997260 0.010000 0.010000 0.010000 0.000000 5778113.501038 -2370174.180924 2083.997260
2017 01 07 11 59 00 5778113.513765 -2370174.177918 2083.965250 0.010000 0.010000 0.010000 0.000000 5778113.513673 -2370174.177989 2083.965250
2017 01 08 11 59 00 5778113.504086 -2370174.172711 2083.978000 0.010000 0.010000 0.010000 0.000000 5778113.503979 -2370174.172793 2083.978000
2017 01 09 11 59 00 5778113.512747 -2370174.188764 2084.006490 0.010000 0.010000 0.010000 0.000000 5778113.512625 -2370174.188858 2084.006490
2017 01 10 11 59 00 5778113.509318 -2370174.178477 2083.997860 0.010000 0.010000 0.010000 0.000000 5778113.509180 -2370174.178582 2083.997860
2017 01 11 11 59 00 5778113.508579 -2370174.179610 2083.986880 0.010000 0.010000 0.010000 0.000000 5778113.508426 -2370174.179727 2083.986880
2017 01 12 11 59 00 5778113.510710 -2370174.181662 2083.984130 0.010000 0.010000 0.010000 0.000000 5778113.510542 -2370174.181792 2083.984130
2017 01 13 11 59 00 5778113.491491 -2370174.178055 2084.016920 0.010000 0.010000 0.010000 0.000000 5778113.491308 -2370174.178196 2084.016920
