################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfPVDG: "Piton Parvedi" - Local} (All data)} {RDCPVDG}
# FILENAME: RDCPVDG_all.txt
# COORD: 369443	7648236
#
# CREATED: 12-Oct-2022 18:35:02 by sysop@pitondescalumets
# COPYRIGHT: MMXXII, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS Eastern(m) Northern(m) Up(m) dE dN dU Orbit East_treat(m) North_treat(m) Up_treat(m)
2020 11 27 11 59 00 5782719.930664 -2366969.787091 1698.809470 0.010000 0.010000 0.010000 0.000000 5782719.908923 -2366969.803832 1698.809470
2020 11 28 11 59 00 5782719.927485 -2366969.782924 1698.802550 0.010000 0.010000 0.010000 0.000000 5782719.905729 -2366969.799677 1698.802550
2020 11 29 11 59 00 5782719.935376 -2366969.785587 1698.813520 0.010000 0.010000 0.010000 0.000000 5782719.913604 -2366969.802351 1698.813520
2020 11 30 11 59 00 5782719.930327 -2366969.777930 1698.814780 0.010000 0.010000 0.011270 0.000000 5782719.908540 -2366969.794706 1698.814780
2020 12 01 11 59 00 5782719.936208 -2366969.782663 1698.823570 0.010000 0.010000 0.010000 0.000000 5782719.914406 -2366969.799450 1698.823570
2020 12 02 11 59 00 5782719.937729 -2366969.780045 1698.823990 0.010000 0.010000 0.010650 0.000000 5782719.915912 -2366969.796845 1698.823990
2020 12 03 11 59 00 5782719.943360 -2366969.780128 1698.811190 0.010000 0.010000 0.010840 0.000000 5782719.921527 -2366969.796940 1698.811190
2020 12 04 11 59 00 5782719.942211 -2366969.787991 1698.807890 0.010000 0.010000 0.010000 0.000000 5782719.920363 -2366969.804814 1698.807890
2020 12 05 11 59 00 5782719.935032 -2366969.790424 1698.811710 0.010000 0.010000 0.010000 0.000000 5782719.913169 -2366969.807259 1698.811710
2020 12 06 11 59 00 5782719.935363 -2366969.777827 1698.812090 0.010000 0.010000 0.010000 0.000000 5782719.913485 -2366969.794673 1698.812090
2020 12 07 11 59 00 5782719.939244 -2366969.782180 1698.802390 0.010000 0.010000 0.010000 0.000000 5782719.917350 -2366969.799038 1698.802390
2020 12 08 11 59 00 5782719.934325 -2366969.773153 1698.804350 0.010000 0.010000 0.010000 0.000000 5782719.912416 -2366969.790023 1698.804350
2020 12 09 11 59 00 5782719.928376 -2366969.779575 1698.797620 0.010000 0.010000 0.010000 0.000000 5782719.906452 -2366969.796457 1698.797620
2020 12 10 11 59 00 5782719.937147 -2366969.785268 1698.800180 0.010000 0.010000 0.010000 0.000000 5782719.915208 -2366969.802162 1698.800180
2020 12 11 11 59 00 5782719.927778 -2366969.780841 1698.820050 0.010000 0.010000 0.010000 0.000000 5782719.905823 -2366969.797746 1698.820050
2020 12 12 11 59 00 5782719.941419 -2366969.786894 1698.813710 0.010000 0.010000 0.010230 0.000000 5782719.919449 -2366969.803811 1698.813710
2020 12 13 11 59 00 5782719.934050 -2366969.778247 1698.830580 0.010000 0.010000 0.010180 0.000000 5782719.912065 -2366969.795176 1698.830580
2020 12 14 11 59 00 5782719.943481 -2366969.780450 1698.804510 0.010000 0.010000 0.016270 0.000000 5782719.921481 -2366969.797390 1698.804510
2020 12 15 11 59 00 5782719.931032 -2366969.777613 1698.843070 0.010000 0.010000 0.012660 0.000000 5782719.909016 -2366969.794565 1698.843070
2020 12 16 11 59 00 5782719.935863 -2366969.774665 1698.817380 0.010000 0.010000 0.010000 0.000000 5782719.913832 -2366969.791629 1698.817380
2020 12 17 11 59 00 5782719.941764 -2366969.781478 1698.818070 0.010000 0.010000 0.013200 0.000000 5782719.919718 -2366969.798454 1698.818070
2020 12 18 11 59 00 5782719.986545 -2366969.797951 1698.827050 0.010000 0.010000 0.015310 0.000000 5782719.964484 -2366969.814939 1698.827050
2020 12 19 11 59 00 5782719.924866 -2366969.765954 1698.878990 0.010000 0.010000 0.014550 0.000000 5782719.902789 -2366969.782953 1698.878990
2020 12 20 11 59 00 5782719.931687 -2366969.775077 1698.836920 0.010000 0.010000 0.010000 0.000000 5782719.909595 -2366969.792088 1698.836920
2020 12 22 11 59 00 5782719.936809 -2366969.777613 1698.814500 0.010000 0.010000 0.010000 0.000000 5782719.914687 -2366969.794647 1698.814500
2020 12 23 11 59 00 5782719.941710 -2366969.779595 1698.827620 0.010000 0.010000 0.010000 0.000000 5782719.919572 -2366969.796641 1698.827620
2020 12 24 11 59 00 5782719.940311 -2366969.787408 1698.821030 0.010000 0.010000 0.010420 0.000000 5782719.918158 -2366969.804466 1698.821030
2020 12 25 11 59 00 5782719.937112 -2366969.782601 1698.815060 0.010000 0.010000 0.010000 0.000000 5782719.914944 -2366969.799671 1698.815060
2020 12 31 11 59 00 5782719.932718 -2366969.780798 1698.805920 0.010000 0.010000 0.015380 0.000000 5782719.910458 -2366969.797938 1698.805920
2021 01 01 11 59 00 5782719.948619 -2366969.789191 1698.805660 0.010000 0.010000 0.012150 0.000000 5782719.926344 -2366969.806343 1698.805660
2021 01 02 11 59 00 5782719.939210 -2366969.780224 1698.788030 0.010000 0.010000 0.010000 0.000000 5782719.916920 -2366969.797387 1698.788030
2021 01 03 11 59 00 5782719.941861 -2366969.781437 1698.799350 0.010000 0.010000 0.011070 0.000000 5782719.919555 -2366969.798612 1698.799350
2021 01 04 11 59 00 5782719.941562 -2366969.784970 1698.792900 0.010000 0.010000 0.010000 0.000000 5782719.919241 -2366969.802157 1698.792900
2021 01 05 11 59 00 5782719.937063 -2366969.780572 1698.796310 0.010000 0.010000 0.010000 0.000000 5782719.914727 -2366969.797771 1698.796310
2021 01 06 11 59 00 5782719.935034 -2366969.780095 1698.792600 0.010000 0.010000 0.010000 0.000000 5782719.912683 -2366969.797306 1698.792600
2021 01 07 11 59 00 5782719.941695 -2366969.778378 1698.790080 0.010000 0.010000 0.010000 0.000000 5782719.919328 -2366969.795600 1698.790080
2021 01 08 11 59 00 5782719.941006 -2366969.783871 1698.795800 0.010000 0.010000 0.010000 0.000000 5782719.918624 -2366969.801105 1698.795800
2021 01 09 11 59 00 5782719.932197 -2366969.782914 1698.779430 0.010000 0.010000 0.010000 0.000000 5782719.909800 -2366969.800160 1698.779430
2021 01 10 11 59 00 5782719.940078 -2366969.778697 1698.801160 0.010000 0.010000 0.010000 0.000000 5782719.917666 -2366969.795954 1698.801160
