################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfREUN: "Observatoire Volcanologique (La R�union)" - Local} (All data)} {RDCREUN}
# FILENAME: RDCREUN_all.txt
# COORD: 
#
# CREATED: 12-Oct-2022 18:35:12 by sysop@pitondescalumets
# COPYRIGHT: MMXXII, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS Eastern(m) Northern(m) Up(m) dE dN dU Orbit East_treat(m) North_treat(m) Up_treat(m)
2017 01 01 11 59 00 5767234.001989 -2360888.945681 1558.377760 0.010000 0.010000 0.010000 0.000000 5767234.001989 -2360888.945681 1558.377760
2017 01 02 11 59 00 5767234.004740 -2360888.957764 1558.369910 0.010000 0.010000 0.010000 0.000000 5767234.004725 -2360888.957776 1558.369910
2017 01 03 11 59 00 5767234.001211 -2360888.942967 1558.360790 0.010000 0.010000 0.010000 0.000000 5767234.001180 -2360888.942990 1558.360790
2017 01 04 11 59 00 5767233.994592 -2360888.954650 1558.361950 0.010000 0.010000 0.010000 0.000000 5767233.994546 -2360888.954685 1558.361950
2017 01 05 11 59 00 5767234.008473 -2360888.958552 1558.366810 0.010000 0.010000 0.010000 0.000000 5767234.008412 -2360888.958599 1558.366810
2017 01 06 11 59 00 5767233.992834 -2360888.949555 1558.372200 0.010000 0.010000 0.010000 0.000000 5767233.992758 -2360888.949614 1558.372200
2017 01 07 11 59 00 5767234.006695 -2360888.949538 1558.348280 0.010000 0.010000 0.010000 0.000000 5767234.006603 -2360888.949609 1558.348280
2017 01 08 11 59 00 5767233.996346 -2360888.945511 1558.368200 0.010000 0.010000 0.010000 0.000000 5767233.996239 -2360888.945593 1558.368200
2017 01 09 11 59 00 5767234.007817 -2360888.959134 1558.373010 0.010000 0.010000 0.010000 0.000000 5767234.007695 -2360888.959228 1558.373010
2017 01 10 11 59 00 5767234.005678 -2360888.949757 1558.360780 0.010000 0.010000 0.010000 0.000000 5767234.005540 -2360888.949862 1558.360780
