################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfRVAG: "Nouveau Rivals" - Local} (All data)} {RDCRVAG}
# FILENAME: RDCRVAG_all.txt
# COORD: 364992	7649259
#
# CREATED: 12-Oct-2022 18:35:16 by sysop@pitondescalumets
# COPYRIGHT: MMXXII, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS Eastern(m) Northern(m) Up(m) dE dN dU Orbit East_treat(m) North_treat(m) Up_treat(m)
2020 11 30 11 59 00 5778628.728247 -2365910.507080 2235.588030 0.010000 0.010000 0.010000 0.000000 5778628.706460 -2365910.523856 2235.588030
2020 12 01 11 59 00 5778628.734268 -2365910.509523 2235.573250 0.010000 0.010000 0.010000 0.000000 5778628.712466 -2365910.526310 2235.573250
2020 12 02 11 59 00 5778628.740779 -2365910.503865 2235.584860 0.010000 0.010000 0.010000 0.000000 5778628.718962 -2365910.520665 2235.584860
2020 12 03 11 59 00 5778628.742690 -2365910.508368 2235.567400 0.010000 0.010000 0.010000 0.000000 5778628.720857 -2365910.525180 2235.567400
2020 12 04 11 59 00 5778628.739221 -2365910.516791 2235.574720 0.010000 0.010000 0.010000 0.000000 5778628.717373 -2365910.533614 2235.574720
2020 12 05 11 59 00 5778628.725512 -2365910.515084 2235.584250 0.010000 0.010000 0.010000 0.000000 5778628.703649 -2365910.531919 2235.584250
2020 12 06 11 59 00 5778628.728253 -2365910.503427 2235.571930 0.010000 0.010000 0.010000 0.000000 5778628.706375 -2365910.520273 2235.571930
2020 12 07 11 59 00 5778628.924184 -2365910.727140 2235.735650 0.010000 0.010000 0.010000 0.000000 5778628.902290 -2365910.743998 2235.735650
2020 12 08 11 59 00 5778628.906595 -2365910.722333 2235.718450 0.010000 0.010000 0.010000 0.000000 5778628.884686 -2365910.739203 2235.718450
2020 12 09 11 59 00 5778628.898526 -2365910.729695 2235.721850 0.010000 0.010000 0.010000 0.000000 5778628.876602 -2365910.746577 2235.721850
2020 12 10 11 59 00 5778628.903327 -2365910.735858 2235.717040 0.010000 0.010000 0.010000 0.000000 5778628.881388 -2365910.752752 2235.717040
2020 12 11 11 59 00 5778628.893958 -2365910.726981 2235.718850 0.010000 0.010000 0.010000 0.000000 5778628.872003 -2365910.743886 2235.718850
2020 12 12 11 59 00 5778628.903409 -2365910.737474 2235.713050 0.010000 0.010000 0.010000 0.000000 5778628.881439 -2365910.754391 2235.713050
2020 12 13 11 59 00 5778628.891000 -2365910.725917 2235.705960 0.010000 0.010000 0.010000 0.000000 5778628.869015 -2365910.742846 2235.705960
2020 12 14 11 59 00 5778628.895491 -2365910.728030 2235.703910 0.010000 0.010000 0.010000 0.000000 5778628.873491 -2365910.744970 2235.703910
2020 12 15 11 59 00 5778628.891492 -2365910.723253 2235.713920 0.010000 0.010000 0.010000 0.000000 5778628.869476 -2365910.740205 2235.713920
2020 12 16 11 59 00 5778628.891663 -2365910.724895 2235.703790 0.010000 0.010000 0.010000 0.000000 5778628.869632 -2365910.741859 2235.703790
2020 12 17 11 59 00 5778628.897154 -2365910.727508 2235.703670 0.010000 0.010000 0.010000 0.000000 5778628.875108 -2365910.744484 2235.703670
2020 12 18 11 59 00 5778628.889095 -2365910.725961 2235.716960 0.010000 0.010000 0.010000 0.000000 5778628.867034 -2365910.742949 2235.716960
