################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfRVLG: "Rivals" - Local} (All data)} {RDCRVL0}
# FILENAME: RDCRVL0_all.txt
# COORD: 365173	7648975
#
# CREATED: 12-Oct-2022 18:35:19 by sysop@pitondescalumets
# COPYRIGHT: MMXXII, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS Eastern(m) Northern(m) Up(m) dE dN dU Orbit East_treat(m) North_treat(m) Up_treat(m)
2017 01 01 11 59 00 5778695.956719 -2366197.589331 2199.764280 0.010000 0.010000 0.010000 0.000000 5778695.956719 -2366197.589331 2199.764280
2017 01 02 11 59 00 5778695.962370 -2366197.601874 2199.742520 0.010000 0.010000 0.010000 0.000000 5778695.962355 -2366197.601886 2199.742520
2017 01 03 11 59 00 5778695.961431 -2366197.584117 2199.735680 0.010000 0.010000 0.010000 0.000000 5778695.961400 -2366197.584140 2199.735680
2017 01 04 11 59 00 5778695.954092 -2366197.590510 2199.725700 0.010000 0.010000 0.010000 0.000000 5778695.954046 -2366197.590545 2199.725700
2017 01 05 11 59 00 5778695.968243 -2366197.596262 2199.737800 0.010000 0.010000 0.010000 0.000000 5778695.968182 -2366197.596309 2199.737800
2017 01 06 11 59 00 5778695.955834 -2366197.589445 2199.731560 0.010000 0.010000 0.010000 0.000000 5778695.955758 -2366197.589504 2199.731560
2017 01 07 11 59 00 5778695.967705 -2366197.591378 2199.712480 0.010000 0.010000 0.010000 0.000000 5778695.967613 -2366197.591449 2199.712480
2017 01 08 11 59 00 5778695.960786 -2366197.588361 2199.727110 0.010000 0.010000 0.010000 0.000000 5778695.960679 -2366197.588443 2199.727110
2017 01 09 11 59 00 5778695.965617 -2366197.599984 2199.733140 0.010000 0.010000 0.010000 0.000000 5778695.965495 -2366197.600078 2199.733140
2017 01 10 11 59 00 5778695.964098 -2366197.592087 2199.738210 0.010000 0.010000 0.010000 0.000000 5778695.963960 -2366197.592192 2199.738210
2017 01 11 11 59 00 5778695.962379 -2366197.592670 2199.743330 0.010000 0.010000 0.010000 0.000000 5778695.962226 -2366197.592787 2199.743330
2017 01 12 11 59 00 5778695.962480 -2366197.595232 2199.733240 0.010000 0.010000 0.010000 0.000000 5778695.962312 -2366197.595362 2199.733240
2017 01 13 11 59 00 5778695.943481 -2366197.589735 2199.758040 0.010000 0.010000 0.010000 0.000000 5778695.943298 -2366197.589876 2199.758040
2017 01 14 11 59 00 5778695.958402 -2366197.583548 2199.724480 0.010000 0.010000 0.010000 0.000000 5778695.958203 -2366197.583701 2199.724480
2017 01 15 11 59 00 5778695.970133 -2366197.590521 2199.752000 0.010000 0.010000 0.010000 0.000000 5778695.969919 -2366197.590685 2199.752000
2017 01 16 11 59 00 5778695.965704 -2366197.592174 2199.739160 0.010000 0.010000 0.010000 0.000000 5778695.965475 -2366197.592350 2199.739160
2017 01 17 11 59 00 5778695.952875 -2366197.590977 2199.722430 0.010000 0.010000 0.010000 0.000000 5778695.952631 -2366197.591165 2199.722430
2017 01 22 11 59 00 5778695.961330 -2366197.600591 2199.732730 0.010000 0.010000 0.010000 0.000000 5778695.961009 -2366197.600838 2199.732730
2017 01 23 11 59 00 5778695.952781 -2366197.592734 2199.726880 0.010000 0.010000 0.010000 0.000000 5778695.952445 -2366197.592992 2199.726880
2017 01 24 11 59 00 5778695.963792 -2366197.582927 2199.742360 0.010000 0.010000 0.010000 0.000000 5778695.963441 -2366197.583197 2199.742360
2017 01 25 11 59 00 5778695.962243 -2366197.581560 2199.737240 0.010000 0.010000 0.010000 0.000000 5778695.961877 -2366197.581841 2199.737240
2017 01 26 11 59 00 5778695.961334 -2366197.586352 2199.725360 0.010000 0.010000 0.010000 0.000000 5778695.960952 -2366197.586646 2199.725360
2017 01 27 11 59 00 5778695.952995 -2366197.588815 2199.727310 0.010000 0.010000 0.010000 0.000000 5778695.952598 -2366197.589120 2199.727310
2017 01 28 11 59 00 5778695.941066 -2366197.591378 2199.758650 0.010000 0.010000 0.010000 0.000000 5778695.940654 -2366197.591695 2199.758650
2017 01 29 11 59 00 5778695.958627 -2366197.592121 2199.746300 0.010000 0.010000 0.010000 0.000000 5778695.958200 -2366197.592450 2199.746300
2017 01 30 11 59 00 5778695.947388 -2366197.589434 2199.744660 0.010000 0.010000 0.010000 0.000000 5778695.946945 -2366197.589774 2199.744660
2017 01 31 11 59 00 5778695.950389 -2366197.587117 2199.746060 0.010000 0.010000 0.010000 0.000000 5778695.949931 -2366197.587469 2199.746060
2017 02 04 11 59 00 5778695.967273 -2366197.584878 2199.739700 0.010000 0.010000 0.010000 0.000000 5778695.966754 -2366197.585277 2199.739700
2017 02 05 11 59 00 5778695.948674 -2366197.573831 2199.717780 0.010000 0.010000 0.010000 0.000000 5778695.948140 -2366197.574242 2199.717780
2017 02 06 11 59 00 5778695.966815 -2366197.592944 2199.733000 0.010000 0.010000 0.010000 0.000000 5778695.966266 -2366197.593366 2199.733000
2017 02 07 11 59 00 5778695.963205 -2366197.593267 2199.732780 0.010000 0.010000 0.010620 0.000000 5778695.962641 -2366197.593701 2199.732780
2017 02 08 11 59 00 5778695.957366 -2366197.588080 2199.740330 0.010000 0.010000 0.011340 0.000000 5778695.956787 -2366197.588526 2199.740330
2017 02 09 11 59 00 5778695.964967 -2366197.586882 2199.724120 0.010000 0.010000 0.010000 0.000000 5778695.964373 -2366197.587340 2199.724120
2017 02 10 11 59 00 5778695.967938 -2366197.588805 2199.732000 0.010000 0.010000 0.010000 0.000000 5778695.967329 -2366197.589275 2199.732000
2017 02 11 11 59 00 5778695.970879 -2366197.581888 2199.745960 0.010000 0.010000 0.010000 0.000000 5778695.970254 -2366197.582369 2199.745960
2017 02 12 11 59 00 5778695.953860 -2366197.595291 2199.744920 0.010000 0.010000 0.010000 0.000000 5778695.953220 -2366197.595784 2199.744920
2017 02 13 11 59 00 5778695.958281 -2366197.586154 2199.736750 0.010000 0.010000 0.010000 0.000000 5778695.957626 -2366197.586659 2199.736750
2017 02 14 11 59 00 5778695.965172 -2366197.590577 2199.728450 0.010000 0.010000 0.010000 0.000000 5778695.964502 -2366197.591093 2199.728450
2017 02 15 11 59 00 5778695.957823 -2366197.585409 2199.727690 0.010000 0.010000 0.010000 0.000000 5778695.957137 -2366197.585938 2199.727690
2017 02 16 11 59 00 5778695.969144 -2366197.596812 2199.728230 0.010000 0.010000 0.010000 0.000000 5778695.968443 -2366197.597352 2199.728230
2017 02 17 11 59 00 5778695.964465 -2366197.580555 2199.732320 0.010000 0.010000 0.010000 0.000000 5778695.963749 -2366197.581107 2199.732320
2017 02 21 11 59 00 5778695.966939 -2366197.589477 2199.724200 0.010000 0.010000 0.010000 0.000000 5778695.966162 -2366197.590075 2199.724200
