################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfSNEG: "Soufri�re Nord Est" - Local} (All data)} {RDCSNE0}
# FILENAME: RDCSNE0_all.txt
# COORD: 366957	7650844
#
# CREATED: 12-Oct-2022 18:35:29 by sysop@pitondescalumets
# COPYRIGHT: MMXXII, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS Eastern(m) Northern(m) Up(m) dE dN dU Orbit East_treat(m) North_treat(m) Up_treat(m)
2017 01 01 11 59 00 5781169.544259 -2364332.827801 2495.385730 0.010000 0.010000 0.010000 0.000000 5781169.544259 -2364332.827801 2495.385730
2017 01 02 11 59 00 5781169.553120 -2364332.843514 2495.375540 0.010000 0.010000 0.010000 0.000000 5781169.553105 -2364332.843526 2495.375540
2017 01 03 11 59 00 5781169.549111 -2364332.828537 2495.377460 0.010000 0.010000 0.010000 0.000000 5781169.549080 -2364332.828560 2495.377460
2017 01 04 11 59 00 5781169.538082 -2364332.839850 2495.368480 0.010000 0.010000 0.010000 0.000000 5781169.538036 -2364332.839885 2495.368480
2017 01 05 11 59 00 5781169.552963 -2364332.843252 2495.374010 0.010000 0.010000 0.010000 0.000000 5781169.552902 -2364332.843299 2495.374010
2017 01 06 11 59 00 5781169.542904 -2364332.834385 2495.377390 0.010000 0.010000 0.010000 0.000000 5781169.542828 -2364332.834444 2495.377390
2017 01 07 11 59 00 5781169.554775 -2364332.834768 2495.354750 0.010000 0.010000 0.010000 0.000000 5781169.554683 -2364332.834839 2495.354750
2017 01 08 11 59 00 5781169.546476 -2364332.830041 2495.367020 0.010000 0.010000 0.010000 0.000000 5781169.546369 -2364332.830123 2495.367020
2017 01 09 11 59 00 5781169.551817 -2364332.844584 2495.375720 0.010000 0.010000 0.010000 0.000000 5781169.551695 -2364332.844678 2495.375720
2017 01 10 11 59 00 5781169.549228 -2364332.835867 2495.372650 0.010000 0.010000 0.010000 0.000000 5781169.549090 -2364332.835972 2495.372650
2017 01 11 11 59 00 5781169.550649 -2364332.835850 2495.367830 0.010000 0.010000 0.010000 0.000000 5781169.550496 -2364332.835967 2495.367830
