################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfSROS: "Sainte-Rose" - Local} (All data)} {RDCSROS}
# FILENAME: RDCSROS_all.txt
#
#
# CREATED: 12-Oct-2022 18:35:38 by sysop@pitondescalumets
# COPYRIGHT: MMXXII, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS Eastern(m) Northern(m) Up(m) dE dN dU Orbit East_treat(m) North_treat(m) Up_treat(m)
2018 04 17 11 59 00 5793561.756446 -2351827.216275 27.418780 0.010000 0.010000 0.010000 0.000000 5793561.749265 -2351827.221805 27.418780
2018 04 18 11 59 00 5793561.745547 -2351827.217798 27.403810 0.010000 0.010000 0.010000 0.000000 5793561.738351 -2351827.223339 27.403810
2018 04 21 11 59 00 5793561.746830 -2351827.214117 27.410350 0.010000 0.010000 0.010000 0.000000 5793561.739588 -2351827.219693 27.410350
2018 04 22 11 59 00 5793561.738631 -2351827.219800 27.393350 0.010000 0.010000 0.010000 0.000000 5793561.731374 -2351827.225388 27.393350
2018 04 23 11 59 00 5793561.738622 -2351827.219533 27.391210 0.010000 0.010000 0.010000 0.000000 5793561.731350 -2351827.225132 27.391210
2018 04 28 11 59 00 5793561.750857 -2351827.221367 27.403230 0.010000 0.010000 0.010000 0.000000 5793561.743508 -2351827.227025 27.403230
2018 04 29 11 59 00 5793561.746408 -2351827.221410 27.396080 0.010000 0.010000 0.010000 0.000000 5793561.739044 -2351827.227080 27.396080
2018 05 02 11 59 00 5793561.744631 -2351827.223008 27.405190 0.010000 0.010000 0.010000 0.000000 5793561.737221 -2351827.228714 27.405190
2018 05 03 11 59 00 5793561.745022 -2351827.206001 27.394210 0.010000 0.010000 0.010000 0.000000 5793561.737597 -2351827.211718 27.394210
2018 05 04 11 59 00 5793561.743373 -2351827.216404 27.412860 0.010000 0.010000 0.010000 0.000000 5793561.735933 -2351827.222133 27.412860
