################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfSTAN: "Saint-Andr�" - Local} (All data)} {RDCSTAN}
# FILENAME: RDCSTAN_all.txt
#
#
# CREATED: 12-Oct-2022 18:35:46 by sysop@pitondescalumets
# COPYRIGHT: MMXXII, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS Eastern(m) Northern(m) Up(m) dE dN dU Orbit East_treat(m) North_treat(m) Up_treat(m)
2018 04 17 11 59 00 5785630.472406 -2332663.510555 86.082750 0.010000 0.010000 0.010000 0.000000 5785630.465225 -2332663.516085 86.082750
2018 04 18 11 59 00 5785630.468977 -2332663.508998 86.077490 0.010000 0.010000 0.010000 0.000000 5785630.461781 -2332663.514539 86.077490
2018 04 21 11 59 00 5785630.465710 -2332663.509517 86.077210 0.010000 0.010000 0.010000 0.000000 5785630.458468 -2332663.515093 86.077210
2018 04 22 11 59 00 5785630.460971 -2332663.514930 86.076960 0.010000 0.010000 0.010000 0.000000 5785630.453714 -2332663.520518 86.076960
2018 04 23 11 59 00 5785630.460652 -2332663.514403 86.070330 0.010000 0.010000 0.010000 0.000000 5785630.453380 -2332663.520002 86.070330
2018 04 28 11 59 00 5785630.471097 -2332663.515337 86.082190 0.010000 0.010000 0.010000 0.000000 5785630.463748 -2332663.520995 86.082190
2018 04 29 11 59 00 5785630.467948 -2332663.515600 86.071790 0.010000 0.010000 0.010000 0.000000 5785630.460584 -2332663.521270 86.071790
2018 05 02 11 59 00 5785630.463731 -2332663.517808 86.079380 0.010000 0.010000 0.010000 0.000000 5785630.456321 -2332663.523514 86.079380
2018 05 03 11 59 00 5785630.468622 -2332663.501001 86.082170 0.010000 0.010000 0.010000 0.000000 5785630.461197 -2332663.506718 86.082170
2018 05 04 11 59 00 5785630.465023 -2332663.510974 86.082130 0.010000 0.010000 0.010000 0.000000 5785630.457583 -2332663.516703 86.082130
2018 05 06 11 59 00 5785630.462845 -2332663.513440 86.080540 0.010000 0.010000 0.010000 0.000000 5785630.455374 -2332663.519192 86.080540
2018 05 07 11 59 00 5785630.468276 -2332663.509762 86.081290 0.010000 0.010000 0.010000 0.000000 5785630.460790 -2332663.515527 86.081290
2018 05 12 11 59 00 5785630.466201 -2332663.504217 86.084560 0.010000 0.010000 0.010000 0.000000 5785630.458639 -2332663.510040 86.084560
2018 05 14 11 59 00 5785630.468263 -2332663.504822 86.092990 0.010000 0.010000 0.010000 0.000000 5785630.460670 -2332663.510669 86.092990
2018 05 18 11 59 00 5785630.465697 -2332663.504104 86.075100 0.010000 0.010000 0.010000 0.000000 5785630.458043 -2332663.509997 86.075100
2018 05 21 11 59 00 5785630.468170 -2332663.511572 86.064630 0.010000 0.010000 0.010000 0.000000 5785630.460471 -2332663.517501 86.064630
