################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfSTJS: "Saint-Joseph" - Local} (All data)} {RDCSTJS}
# FILENAME: RDCSTJS_all.txt
#
#
# CREATED: 12-Oct-2022 18:35:54 by sysop@pitondescalumets
# COPYRIGHT: MMXXII, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS Eastern(m) Northern(m) Up(m) dE dN dU Orbit East_treat(m) North_treat(m) Up_treat(m)
2018 04 17 11 59 00 5765453.812746 -2379952.437385 45.327130 0.010000 0.010000 0.010000 0.000000 5765453.805565 -2379952.442915 45.327130
2018 04 18 11 59 00 5765453.806987 -2379952.437628 45.315910 0.010000 0.010000 0.010730 0.000000 5765453.799791 -2379952.443169 45.315910
2018 04 21 11 59 00 5765453.805830 -2379952.435447 45.302570 0.010000 0.010000 0.010000 0.000000 5765453.798588 -2379952.441023 45.302570
2018 04 22 11 59 00 5765453.801521 -2379952.443450 45.297510 0.010000 0.010000 0.010000 0.000000 5765453.794264 -2379952.449038 45.297510
2018 04 23 11 59 00 5765453.800592 -2379952.440783 45.308200 0.010000 0.010000 0.010000 0.000000 5765453.793320 -2379952.446382 45.308200
2018 04 28 11 59 00 5765453.811627 -2379952.442717 45.314240 0.010000 0.010000 0.010000 0.000000 5765453.804278 -2379952.448375 45.314240
2018 04 29 11 59 00 5765453.806938 -2379952.442030 45.302710 0.010000 0.010000 0.010000 0.000000 5765453.799574 -2379952.447700 45.302710
2018 05 02 11 59 00 5765453.803331 -2379952.444968 45.305240 0.010000 0.010000 0.010000 0.000000 5765453.795921 -2379952.450674 45.305240
2018 05 03 11 59 00 5765453.808872 -2379952.424571 45.300960 0.010000 0.010000 0.010000 0.000000 5765453.801447 -2379952.430288 45.300960
2018 05 04 11 59 00 5765453.804123 -2379952.439534 45.312890 0.010000 0.010000 0.010000 0.000000 5765453.796683 -2379952.445263 45.312890
2018 05 06 11 59 00 5765453.806285 -2379952.441750 45.305900 0.010000 0.010000 0.010000 0.000000 5765453.798814 -2379952.447502 45.305900
2018 05 07 11 59 00 5765453.806216 -2379952.435102 45.317700 0.010000 0.010000 0.010000 0.000000 5765453.798730 -2379952.440867 45.317700
2018 05 12 11 59 00 5765453.806701 -2379952.431047 45.312770 0.010000 0.010000 0.010000 0.000000 5765453.799139 -2379952.436870 45.312770
2018 05 14 11 59 00 5765453.807733 -2379952.430942 45.317130 0.010000 0.010000 0.010000 0.000000 5765453.800140 -2379952.436789 45.317130
2018 05 18 11 59 00 5765453.809567 -2379952.433154 45.314370 0.010000 0.010000 0.010000 0.000000 5765453.801913 -2379952.439047 45.314370
2018 05 21 11 59 00 5765453.809520 -2379952.433442 45.295340 0.010000 0.010000 0.010000 0.000000 5765453.801821 -2379952.439371 45.295340
2018 05 23 11 59 00 5765453.808172 -2379952.430648 45.292520 0.010000 0.010000 0.010000 0.000000 5765453.800442 -2379952.436600 45.292520
