################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfTRCG: "Citerne du Tremblet" - Local} (All data)} {RDCTCR0}
# FILENAME: RDCTCR0_all.txt
# COORD: 375294	7645151	
#
# CREATED: 12-Oct-2022 18:36:04 by sysop@pitondescalumets
# COPYRIGHT: MMXXII, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS Eastern(m) Northern(m) Up(m) dE dN dU Orbit East_treat(m) North_treat(m) Up_treat(m)
2017 01 01 11 59 00 5787432.339739 -2370122.922371 173.386390 0.010000 0.010000 0.010000 0.000000 5787432.339739 -2370122.922371 173.386390
2017 01 02 11 59 00 5787432.339750 -2370122.930624 173.371480 0.010000 0.010000 0.010000 0.000000 5787432.339735 -2370122.930636 173.371480
2017 01 03 11 59 00 5787432.332691 -2370122.915847 173.364890 0.010000 0.010000 0.010000 0.000000 5787432.332660 -2370122.915870 173.364890
2017 01 04 11 59 00 5787432.326022 -2370122.925090 173.357430 0.010000 0.010000 0.010000 0.000000 5787432.325976 -2370122.925125 173.357430
2017 01 05 11 59 00 5787432.338843 -2370122.927092 173.368830 0.010000 0.010000 0.010000 0.000000 5787432.338782 -2370122.927139 173.368830
2017 01 06 11 59 00 5787432.328274 -2370122.918805 173.374260 0.010000 0.010000 0.010000 0.000000 5787432.328198 -2370122.918864 173.374260
2017 01 07 11 59 00 5787432.337865 -2370122.917988 173.349640 0.010000 0.010000 0.010000 0.000000 5787432.337773 -2370122.918059 173.349640
2017 01 08 11 59 00 5787432.329236 -2370122.914301 173.362690 0.010000 0.010000 0.010000 0.000000 5787432.329129 -2370122.914383 173.362690
2017 01 09 11 59 00 5787432.334847 -2370122.929094 173.378530 0.010000 0.010000 0.010000 0.000000 5787432.334725 -2370122.929188 173.378530
2017 01 10 11 59 00 5787432.333448 -2370122.920857 173.373740 0.010000 0.010000 0.010000 0.000000 5787432.333310 -2370122.920962 173.373740
2017 01 11 11 59 00 5787432.335359 -2370122.922270 173.363870 0.010000 0.010000 0.010000 0.000000 5787432.335206 -2370122.922387 173.363870
2017 01 12 11 59 00 5787432.339050 -2370122.923822 173.364670 0.010000 0.010000 0.010000 0.000000 5787432.338882 -2370122.923952 173.364670
2017 01 13 11 59 00 5787432.316881 -2370122.919745 173.400040 0.010000 0.010000 0.010000 0.000000 5787432.316698 -2370122.919886 173.400040
2017 01 14 11 59 00 5787432.329422 -2370122.915278 173.369650 0.010000 0.010000 0.010000 0.000000 5787432.329223 -2370122.915431 173.369650
2017 01 15 11 59 00 5787432.345303 -2370122.923321 173.401620 0.010000 0.010000 0.010760 0.000000 5787432.345089 -2370122.923485 173.401620
2017 01 16 11 59 00 5787432.338164 -2370122.921454 173.382160 0.010000 0.010000 0.010000 0.000000 5787432.337935 -2370122.921630 173.382160
2017 01 17 11 59 00 5787432.328655 -2370122.924387 173.382310 0.010000 0.010000 0.010000 0.000000 5787432.328411 -2370122.924575 173.382310
2017 01 22 11 59 00 5787432.336130 -2370122.930231 173.370600 0.010000 0.010000 0.010000 0.000000 5787432.335809 -2370122.930478 173.370600
2017 01 23 11 59 00 5787432.326841 -2370122.923924 173.359070 0.010000 0.010000 0.010000 0.000000 5787432.326505 -2370122.924182 173.359070
2017 01 24 11 59 00 5787432.334482 -2370122.913167 173.355800 0.010000 0.010000 0.010000 0.000000 5787432.334131 -2370122.913437 173.355800
2017 01 25 11 59 00 5787432.328273 -2370122.915020 173.368600 0.010000 0.010000 0.010000 0.000000 5787432.327907 -2370122.915301 173.368600
2017 01 26 11 59 00 5787432.330454 -2370122.919832 173.380940 0.010000 0.010000 0.010000 0.000000 5787432.330072 -2370122.920126 173.380940
2017 01 27 11 59 00 5787432.325475 -2370122.910265 173.378890 0.010000 0.010000 0.010000 0.000000 5787432.325078 -2370122.910570 173.378890
2017 01 28 11 59 00 5787432.318976 -2370122.919058 173.367690 0.010000 0.010000 0.010000 0.000000 5787432.318564 -2370122.919375 173.367690
2017 01 29 11 59 00 5787432.332567 -2370122.918301 173.362280 0.010000 0.010000 0.010000 0.000000 5787432.332140 -2370122.918630 173.362280
2017 01 30 11 59 00 5787432.321938 -2370122.916044 173.365450 0.010000 0.010000 0.010000 0.000000 5787432.321495 -2370122.916384 173.365450
2017 01 31 11 59 00 5787432.321719 -2370122.920617 173.376830 0.010000 0.010000 0.010000 0.000000 5787432.321261 -2370122.920969 173.376830
2017 02 04 11 59 00 5787432.332193 -2370122.924008 173.381890 0.010000 0.010000 0.010000 0.000000 5787432.331674 -2370122.924407 173.381890
2017 02 05 11 59 00 5787432.316394 -2370122.911641 173.357340 0.010000 0.010000 0.010000 0.000000 5787432.315860 -2370122.912052 173.357340
2017 02 06 11 59 00 5787432.334375 -2370122.927414 173.376950 0.010000 0.010000 0.010000 0.000000 5787432.333826 -2370122.927836 173.376950
2017 02 07 11 59 00 5787432.336525 -2370122.929117 173.374330 0.010000 0.010000 0.010050 0.000000 5787432.335961 -2370122.929551 173.374330
2017 02 08 11 59 00 5787432.323606 -2370122.918070 173.378520 0.010000 0.010000 0.012250 0.000000 5787432.323027 -2370122.918516 173.378520
2017 02 09 11 59 00 5787432.333677 -2370122.928122 173.383160 0.010000 0.010000 0.010000 0.000000 5787432.333083 -2370122.928580 173.383160
2017 02 10 11 59 00 5787432.331848 -2370122.926485 173.370100 0.010000 0.010000 0.010000 0.000000 5787432.331239 -2370122.926955 173.370100
2017 02 11 11 59 00 5787432.337209 -2370122.913658 173.381280 0.010000 0.010000 0.010000 0.000000 5787432.336584 -2370122.914139 173.381280
